index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.5316300785224802,0.5316300785224802,True,-0.46836992147751977,5.533395423403962e-07,-1.1102230246251565e-16,7.300135198139191e-16,0.7934544822234673,1.0,0.007561870446791647,-0.0013486782885756554,0.06000000000000005,5.54012239696602e-15,NO_HIT
0,spectrum_local,0.35,0.12,False,0.527033529206315,0.527033529206315,True,-0.47296647079368503,2.5454028339177087e-07,-2.220446049250313e-16,4.0067768934180144e-16,0.7614097543367826,1.0,0.006363190141863125,-0.0009297818121591916,0.050000000000000044,5.54012239696602e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,True,0.5356584199897908,0.5356584199897908,True,-0.4643415800102092,3.6187772581154895e-07,0.0,1.710925217460722e-16,0.7649977122902046,1.0,0.006535967258034409,-0.00097832914579854,0.050000000000000044,5.5421931210678105e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,False,0.5295038155831788,0.5295038155831788,True,-0.4704961844168212,1.7928434789999524e-07,2.220446049250313e-16,1.6283151531937566e-16,0.7343906057849569,1.0,0.006368843602463065,-0.0009107148281799482,0.05,5.5848780547646864e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,False,0.5181386942522953,0.5181386942522953,True,-0.4818613057477047,2.2456913800546471e-07,2.220446049250313e-16,2.254313303944593e-16,0.6929171843157125,1.0,0.006463973562311711,-0.0008679308573729116,0.05,5.483964560424636e-15,NO_HIT
4,spectrum_local,0.35,0.12,True,0.5291421998868928,0.5291421998868928,True,-0.4708578001131072,2.462946402051571e-07,0.0,1.9745933687212927e-16,0.7772625481791074,1.0,0.00649094876142803,-0.0009894305723907593,0.0534142793638297,5.5421931210678105e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,True,0.5384212664509267,0.5384212664509267,True,-0.4615787335490733,2.1631252639225888e-07,0.0,6.390882584341169e-16,0.7753711593382204,1.0,0.006247287980104911,-0.0008941044121240083,0.050000000000000044,5.5004959967401476e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,True,0.5382512370199883,0.5382512370199883,True,-0.46174876298001166,2.4844855286613806e-07,-1.1102230246251565e-16,7.823832557446391e-17,0.8401296296266104,1.0,0.0059195977342928465,-0.0009398066327186427,0.050000000000000044,5.5407753833235705e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,False,0.5028861193596649,0.5028861193596649,True,-0.4971138806403351,7.293052604610582e-07,2.220446049250313e-16,1.1349638122904234e-16,0.7974426072526584,1.0,0.006912322920096957,-0.001130840513138942,0.06223862068990926,5.552817153480956e-15,NO_HIT
8,spectrum_local,0.35,0.12,False,0.5086557960430033,0.5086557960430033,True,-0.49134420395699674,2.844104493003878e-07,0.0,1.8027194162700278e-16,0.7881782866699028,1.0,0.005919373864301321,-0.0008312171750084474,0.050000000000000044,5.5407753833235705e-15,NO_HIT
9,one_basis_rotation,0.35,0.12,True,0.5401308098057129,0.5401308098057129,True,-0.45986919019428707,1.318130254779599e-07,4.440892098500626e-16,1.901634779690176e-16,0.7395290727736386,1.0,0.005916687147365807,-0.0008345771342215258,0.050000000000000044,5.570382173504733e-15,NO_HIT
10,three_basis_rotations,0.35,0.12,True,0.545953092359869,0.545953092359869,True,-0.454046907640131,1.3047841980893076e-07,-1.1102230246251565e-16,1.731794147992257e-16,0.7175053776386976,1.0,0.00630009477388427,-0.000872168212340263,0.05,5.5455727270650984e-15,NO_HIT
11,source_restart,0.5249999999999999,0.12,False,0.5285078484537754,0.5285078484537754,True,-0.4714921515462246,3.0415995348267196e-07,2.220446049250313e-16,4.651204408030122e-16,0.6992596123117975,1.0,0.006480423300330166,-0.0009033928954744752,0.05,5.658037028555552e-15,NO_HIT
12,spectrum_local,0.35,0.12,False,0.5421472566945879,0.5421472566945879,True,-0.45785274330541215,1.1579513647913892e-07,0.0,3.99800032431653e-16,0.7350006998331724,1.0,0.006190692854667884,-0.0008615866123466986,0.05,5.5455727270650984e-15,NO_HIT
13,one_basis_rotation,0.35,0.12,True,0.5471241667171491,0.5471241667171491,True,-0.45287583328285086,6.616795978793405e-08,0.0,3.3889937285796394e-16,0.6924600509899723,1.0,0.006512779338834896,-0.0008594810525783814,0.05,5.605429130983179e-15,NO_HIT
14,three_basis_rotations,0.35,0.12,False,0.5373195816466785,0.5373195816466785,True,-0.4626804183533215,4.2270580961227144e-08,0.0,3.830215597757899e-16,0.6657856094644535,1.0,0.006210593205717922,-0.0008060980160315978,0.05,5.649259669998175e-15,NO_HIT
15,source_restart,0.5249999999999999,0.12,False,0.5029051899330301,0.5029051899330301,True,-0.49709481006696987,2.7960592914352375e-07,-2.220446049250313e-16,3.899242388001297e-16,0.6881681885120997,1.0,0.008671153942322592,-0.001681780978669778,0.07310480958315452,5.574267381234939e-15,NO_HIT
16,spectrum_local,0.35,0.12,True,0.5499298403059605,0.5499298403059605,True,-0.4500701596940395,6.079021022847407e-08,2.220446049250313e-16,6.225224949454862e-16,0.6350389669456311,1.0,0.006654706596777755,-0.0008740419505812724,0.05,5.605429130983179e-15,NO_HIT
17,one_basis_rotation,0.35,0.12,False,0.545446029415243,0.545446029415243,True,-0.454553970584757,6.783270523732304e-08,0.0,2.1894104793119913e-16,0.6332222812827304,1.0,0.0070665733704202375,-0.0009665397229552397,0.05,5.607842368399296e-15,NO_HIT
18,three_basis_rotations,0.35,0.12,True,0.5446937151900216,0.5446937151900216,True,-0.45530628480997837,1.108218563331073e-07,2.220446049250313e-16,3.396925642140988e-16,0.7240221789262958,1.0,0.006205286275003179,-0.0008676611115339128,0.05,5.571451174774724e-15,NO_HIT
19,source_restart,0.5249999999999999,0.12,False,0.5044783397065683,0.5044783397065683,True,-0.4955216602934317,2.905991087354855e-07,-1.1102230246251565e-16,3.2301817989774864e-16,0.7514338485633806,1.0,0.005777863662251949,-0.000726290284831066,0.05,5.548729692721312e-15,NO_HIT
20,spectrum_local,0.35,0.12,False,0.538674797899917,0.538674797899917,True,-0.461325202100083,1.3122598186937294e-07,0.0,3.644697135179537e-16,0.7712176519085215,1.0,0.005919105589194365,-0.0008318671107101494,0.05,5.571451174774724e-15,NO_HIT
21,one_basis_rotation,0.35,0.12,False,0.5356400609735764,0.5356400609735764,True,-0.4643599390264236,1.4888087735662715e-07,0.0,6.9413986104069e-16,0.7596120745900636,1.0,0.006108876377124243,-0.0009310687985752963,0.05,5.565894790041266e-15,NO_HIT
22,three_basis_rotations,0.35,0.12,False,0.5433805206144744,0.5433805206144744,True,-0.4566194793855256,1.4392868995903042e-07,-1.1102230246251565e-16,1.8890406136307129e-16,0.7243983140567563,1.0,0.0063654638794235835,-0.0009021705270058078,0.05,5.571198414914544e-15,NO_HIT
23,source_restart,0.5249999999999999,0.12,False,0.5020487995801132,0.5020487995801132,True,-0.49795120041988683,2.85569207646708e-07,0.0,1.93921966772825e-16,0.7500882367153185,1.0,0.006665882432572601,-0.0009361878741440677,0.05,5.54124926709235e-15,NO_HIT
24,spectrum_local,0.35,0.12,False,0.5369774958093232,0.5369774958093232,True,-0.4630225041906768,1.217281457909763e-07,-2.220446049250313e-16,1.6801779887132022e-16,0.7674190615792827,1.0,0.005799695699330752,-0.000838904589783418,0.05,5.571451174774724e-15,NO_HIT
25,one_basis_rotation,0.35,0.12,False,0.5288797633462394,0.5288797633462394,True,-0.47112023665376057,1.700654186596541e-07,0.0,1.4215392838263037e-16,0.713853059477545,1.0,0.00653055315867237,-0.0008842512685847126,0.05,5.534362176534702e-15,NO_HIT
