index,mode,margin,label,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,status
0,0,0.01,frozen_logit_neighborhood,0.51081837918375,0.51081837918375,True,-0.48918162081625005,1.1968518427712168e-10,0.0,2.1118516583212501e-16,0.3104285964562165,1.0,0.0018896037915982107,-6.19322259867161e-05,NO_HIT
1,1,0.015920254439325876,two_edge_clusters,0.4418127499195429,0.4418127499195429,True,-0.5581872500804571,7.73338281600198e-08,-2.220446049250313e-16,2.0960790949602948e-16,0.5468495434639208,1.0,0.0029112677572119506,-0.0001831222710038105,NO_HIT
2,2,0.023531226486650847,logit_spread,0.41108074789657806,0.41108074789657806,True,-0.5889192521034219,3.6146523381518714e-10,0.0,3.9711084520956386e-16,0.048487267923975105,1.0,0.003981418931639373,-0.00018409795227380954,NO_HIT
3,3,0.01,five_spectral_clusters,0.5204879595417145,0.5204879595417145,True,-0.47951204045828555,7.1262198459121456e-09,0.0,2.036215913116628e-16,0.40643285828053977,1.0,0.0022168746294364597,-6.759507736386894e-05,NO_HIT
4,0,0.01,frozen_logit_neighborhood,0.5117763439938045,0.5117763439938045,True,-0.48822365600619555,4.9695233425511234e-11,0.0,3.9311327206689633e-16,0.2274910204608063,1.0,0.0020742541969767606,-6.689414570271168e-05,NO_HIT
5,1,0.01071268289103495,two_edge_clusters,0.488616332303932,0.488616332303932,True,-0.511383667696068,3.3702043534039764e-09,-2.220446049250313e-16,2.7726568588937244e-16,0.23143654779911782,1.0,0.002840131660364068,-0.0001277547957725389,NO_HIT
6,2,0.017441443588091517,logit_spread,0.49396966462109143,0.49396966462109143,True,-0.5060303353789086,3.455156899792868e-09,0.0,8.815372985751699e-17,0.3440950144865955,1.0,0.0032962515469757377,-0.00013905748220111036,NO_HIT
7,3,0.014320174196353421,five_spectral_clusters,0.47421500519888876,0.47421500519888876,True,-0.5257849948011113,4.8448089995284057e-11,0.0,2.8224256210307597e-16,0.24783745630917114,1.0,0.0028827882044719466,-0.00011663151362206747,NO_HIT
8,0,0.01,frozen_logit_neighborhood,0.5139320128074947,0.5139320128074947,True,-0.4860679871925053,2.9091850779801104e-12,2.220446049250313e-16,3.4401446409309e-16,0.2008259525701978,1.0,0.002258923504856249,-8.08395810274476e-05,NO_HIT
9,1,0.03424710372115744,two_edge_clusters,0.48406072634241515,0.48406072634241515,True,-0.5159392736575849,3.244102294009385e-08,0.0,3.615145487537907e-16,0.45214438214226516,1.0,0.007574373380222991,-0.0010918436992701785,NO_HIT
