index,mode,margin,label,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,status
0,0,0.010000000000000009,frozen_logit_neighborhood,0.5144899147770752,0.5144899147770752,True,-0.4855100852229248,4.888288213449304e-12,0.0,1.31668077196559e-16,0.23060759628412889,1.0,0.0023665297449389066,-9.418511373127103e-05,NO_HIT
1,1,0.0313477784869388,two_edge_clusters,0.4913984258664055,0.4913984258664055,True,-0.5086015741335945,1.111903995751798e-08,0.0,5.83179022781271e-16,0.415435759741409,1.0,0.0056288390518960665,-0.0005614103057496322,NO_HIT
2,2,0.013098323705277316,logit_spread,0.4584948908064302,0.4584948908064302,True,-0.5415051091935699,3.3744797732147586e-10,2.220446049250313e-16,3.014963229138581e-16,0.24259536005936538,1.0,0.0027711390656361898,-0.00011259832529653124,NO_HIT
3,3,0.014361640426843847,five_spectral_clusters,0.4026138622170619,0.4028488823368877,False,-0.5973861377829381,4.1099867162657156e-12,-2.220446049250313e-16,1.928841770091759e-16,0.026769858314981146,1.0,0.0038281956597092217,-0.00013381367645592945,NO_HIT
4,0,0.01,frozen_logit_neighborhood,0.5115483040701871,0.5115483040701871,True,-0.48845169592981286,1.2283151654893536e-12,0.0,1.791565105345878e-16,0.19395943807807575,1.0,0.002148324516410434,-7.687178807014305e-05,NO_HIT
5,1,0.011358236506886984,two_edge_clusters,0.49428976174276695,0.49428976174276695,True,-0.505710238257233,1.0316633700803788e-07,0.0,2.951342619521101e-16,0.49455776474586033,1.0,0.0022966450668757917,-9.161526838319389e-05,NO_HIT
6,2,0.014944277064859762,logit_spread,0.4052214992931078,0.4052214992931078,True,-0.5947785007068922,8.290375991800936e-08,0.0,1.5402618183309865e-16,0.49576100742647755,1.0,0.0020251535844191433,-8.034638784870651e-05,NO_HIT
7,3,0.025020039823280493,five_spectral_clusters,0.48798042884821147,0.48798042884821147,True,-0.5120195711517885,5.717623031282939e-08,0.0,1.202382952191252e-16,0.2051988257753043,1.0,0.004077212436888972,-0.00023413920128056986,NO_HIT
8,0,0.01,frozen_logit_neighborhood,0.5045710846798203,0.5045710846798203,True,-0.49542891532017974,2.138629765250675e-10,-1.1102230246251565e-16,2.0148285957103253e-16,0.21234234502761873,1.0,0.002237474226742688,-7.105490222691913e-05,NO_HIT
9,1,0.011083483886207057,two_edge_clusters,0.4886320482957787,0.4886320482957787,True,-0.5113679517042213,7.124124650651407e-09,-1.1102230246251565e-16,2.636312133928398e-16,0.3813054442641047,1.0,0.0029067205970786697,-0.00015610689382938858,NO_HIT
10,2,0.01440342558451355,logit_spread,0.4202809276960549,0.4202809276960549,True,-0.5797190723039451,2.664288929597327e-09,0.0,2.9718503698686714e-16,0.1711785164556598,1.0,0.0035656514689827905,-0.00018240834543536977,NO_HIT
11,3,0.010318844768654412,five_spectral_clusters,0.5003223031407157,0.5003223031407157,True,-0.4996776968592843,3.519091892107088e-10,-1.1102230246251565e-16,2.8937616271379628e-16,0.20469763405359728,1.0,0.0021318902683013187,-8.569906146682627e-05,NO_HIT
12,0,0.012347113971328372,frozen_logit_neighborhood,0.508481624970971,0.508481624970971,True,-0.49151837502902895,1.0016793959986483e-10,0.0,3.0842291519022987e-16,0.23000945769609293,1.0,0.002611479338226209,-0.0001164664983273056,NO_HIT
13,1,0.01591678451021767,two_edge_clusters,0.504060994399208,0.504060994399208,True,-0.49593900560079196,1.63993715793764e-08,0.0,1.8597890171433888e-16,0.40631937900645343,1.0,0.003917308731160684,-0.0003176208458217644,NO_HIT
