index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.5316300785224802,0.5316300785224802,True,-0.46836992147751977,5.533395423403962e-07,-1.1102230246251565e-16,7.300135198139191e-16,0.7934544822234673,1.0,0.007561870446791647,-0.0013486782885756554,0.06000000000000005,5.54012239696602e-15,NO_HIT
0,spectrum_local,0.35,0.12,True,0.5488795199190262,0.5488795199190262,True,-0.45112048008097383,2.7201015330662633e-07,-1.1102230246251565e-16,1.7348807796696063e-16,0.7379568500750947,1.0,0.0067754639034669885,-0.0010886620958299176,0.050000000000000044,5.54012239696602e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,True,0.5600945864930398,0.5600945864930398,True,-0.4399054135069602,1.1811045322649205e-07,0.0,3.1670643801311913e-16,0.6320022959973496,1.0,0.007631122828262386,-0.001112822714596895,0.05,5.508868658199077e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,False,0.5540777125067345,0.5540777125067345,True,-0.44592228749326546,6.352120066739497e-08,2.220446049250313e-16,6.512741861830302e-16,0.6174706364326266,1.0,0.007626089455744573,-0.0010481721532080712,0.05,5.58035922215052e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,False,0.5307469020123272,0.5307469020123272,True,-0.4692530979876728,3.6672090054163763e-07,-1.1102230246251565e-16,3.8125911826122234e-16,0.8049485349382581,1.0,0.006186221691790721,-0.0009125684805146861,0.05,5.461681669756498e-15,NO_HIT
4,spectrum_local,0.35,0.12,True,0.5669890114240539,0.5669890114240539,True,-0.4330109885759461,1.015087017691697e-07,0.0,2.6202114184512047e-16,0.6517011727151922,1.0,0.007620660859183672,-0.001246582847401534,0.05,5.508868658199077e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,False,0.5533939625007962,0.5533939625007962,True,-0.4466060374992038,1.78896150141024e-07,-4.440892098500626e-16,2.303734174193154e-16,0.6596816525933593,1.0,0.007943051763916667,-0.0012314687367078747,0.05469309919805853,5.529829138588454e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,False,0.5575528762742543,0.5575528762742543,True,-0.4424471237257457,1.3967792197829748e-07,-1.1102230246251565e-16,1.2726673901586603e-16,0.6483854130687338,1.0,0.007073832514144661,-0.0010315927201958175,0.05,5.5748029370822095e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,False,0.5507278174532995,0.5507278174532995,True,-0.44927218254670054,1.884462885983851e-07,0.0,1.3303609730586493e-16,0.7548657389945282,1.0,0.006533768631876182,-0.0009671098222749919,0.05,5.575070827651449e-15,NO_HIT
8,spectrum_local,0.35,0.12,True,0.551729572862363,0.551729572862363,True,-0.448270427137637,1.5248502492475077e-07,-1.1102230246251565e-16,5.632059729234662e-16,0.7263192558793777,1.0,0.006796799348944123,-0.0010526799134078502,0.050000000000000044,5.508868658199077e-15,NO_HIT
9,one_basis_rotation,0.35,0.12,True,0.5478881984224918,0.5478881984224918,True,-0.4521118015775082,1.9587544339219777e-07,0.0,1.7103551017688811e-16,0.6868477780697595,1.0,0.006650041579101467,-0.0009436746668933793,0.05,5.499607222389691e-15,NO_HIT
10,three_basis_rotations,0.35,0.12,True,0.5421214461323178,0.5421214461323178,True,-0.45787855386768217,2.068307528204321e-07,0.0,2.04172152672936e-16,0.7464403622075094,1.0,0.006412774219859085,-0.0009959342150427375,0.05281180386470696,5.560053371871742e-15,NO_HIT
11,source_restart,0.5249999999999999,0.12,False,0.5143119711649825,0.5143119711649825,True,-0.4856880288350175,2.1899548902026864e-07,2.220446049250313e-16,1.4341047945418496e-16,0.7296066922733777,1.0,0.0060959675270992955,-0.0008159233864351023,0.05,5.739368893445966e-15,NO_HIT
12,spectrum_local,0.35,0.12,False,0.5255544725879021,0.5255544725879021,True,-0.4744455274120979,2.2138877967637719e-07,-2.220446049250313e-16,1.1932366994034367e-16,0.738577357337341,1.0,0.006632613076024372,-0.0010268663033095038,0.05,5.560053371871742e-15,NO_HIT
13,one_basis_rotation,0.35,0.12,True,0.5427163845926446,0.5427163845926446,True,-0.4572836154073554,7.897876924931675e-08,0.0,7.256065720548422e-16,0.6808468384178887,1.0,0.006362722952645564,-0.0008971718841435106,0.05,5.556007155385695e-15,NO_HIT
14,three_basis_rotations,0.35,0.12,False,0.5234317973431757,0.5234317973431757,True,-0.4765682026568243,1.734456413799499e-07,0.0,2.68704194912216e-16,0.6019679946521939,1.0,0.006510369061648287,-0.000827309044992397,0.05,5.497660540582037e-15,NO_HIT
15,source_restart,0.5249999999999999,0.12,False,0.46140548643306334,0.46140548643306334,True,-0.5385945135669367,6.725935593123372e-07,0.0,1.5753314737386584e-16,0.5003557756120093,1.0,0.008133566204637064,-0.0013309127618281735,0.07014586450469719,5.620155168591623e-15,NO_HIT
16,spectrum_local,0.35,0.12,False,0.5293053448265782,0.5293053448265782,True,-0.4706946551734218,5.303776951210167e-08,0.0,2.5615420066305126e-16,0.6851317356707425,1.0,0.00637351274840456,-0.0008898190021611185,0.05,5.556007155385695e-15,NO_HIT
17,one_basis_rotation,0.35,0.12,True,0.5409274436161002,0.5409274436161002,True,-0.45907255638389977,8.313948334044833e-08,-1.1102230246251565e-16,3.41623750792697e-16,0.6273932396621104,1.0,0.006621105971539524,-0.0008995187498337387,0.05,5.599937735354881e-15,NO_HIT
18,three_basis_rotations,0.35,0.12,False,0.5273575367190956,0.5273575367190956,True,-0.4726424632809044,1.0527000387989081e-07,2.220446049250313e-16,6.155602372251811e-16,0.5587530985551703,1.0,0.007427664897195898,-0.0010114197483233056,0.05,5.592955556827977e-15,NO_HIT
19,source_restart,0.5249999999999999,0.12,False,0.5114721641145695,0.5114721641145695,True,-0.4885278358854305,4.1782006885625814e-07,-2.220446049250313e-16,1.5761975178420118e-16,0.7768475941175218,1.0,0.006126125212003791,-0.0009047777409971758,0.050000000000000044,5.586120659946603e-15,NO_HIT
20,spectrum_local,0.35,0.12,False,0.5123547939548144,0.5123547939548144,True,-0.4876452060451856,2.3797200068029815e-07,0.0,5.601345394369772e-16,0.6304772020355652,1.0,0.006644085900961315,-0.0009499533877477262,0.05,5.599937735354881e-15,NO_HIT
21,one_basis_rotation,0.35,0.12,True,0.5379463386929324,0.5379463386929324,True,-0.4620536613070676,5.875178487663664e-08,4.440892098500626e-16,2.3683790543196367e-16,0.5656117091805607,1.0,0.00649470860257065,-0.0008919820025559133,0.05,5.5972884112359614e-15,NO_HIT
22,three_basis_rotations,0.35,0.12,False,0.5311331331171485,0.5311331331171485,True,-0.4688668668828515,5.2684081060890465e-08,0.0,1.581138951463646e-16,0.5792747061342476,1.0,0.007307595684758927,-0.0010880866722295934,0.05,5.507877974059577e-15,NO_HIT
23,source_restart,0.5249999999999999,0.12,False,0.49991819013193156,0.49991819013193156,True,-0.5000818098680684,3.196529737321927e-07,4.440892098500626e-16,5.286939506180018e-16,0.7462852042230864,1.0,0.006784957117866433,-0.0010360824450064143,0.05194726172231301,5.539884967234176e-15,NO_HIT
24,spectrum_local,0.35,0.12,False,0.5217105219089442,0.5217105219089442,True,-0.4782894780910558,2.782052973902543e-07,0.0,2.466387535084783e-16,0.6480451191678138,1.0,0.00914297732358195,-0.0017107331964325567,0.06732369910824453,5.5972884112359614e-15,NO_HIT
25,one_basis_rotation,0.35,0.12,False,0.5213213634339464,0.5213213634339464,True,-0.4786786365660536,5.685702405787554e-08,0.0,5.984407433241131e-16,0.6182474267646731,1.0,0.00646885516677094,-0.0008768217949697288,0.05,5.6151304112752734e-15,NO_HIT
26,three_basis_rotations,0.35,0.12,False,0.531614250512162,0.531614250512162,True,-0.46838574948783795,2.840319195888468e-08,0.0,3.4611211499687427e-16,0.5835826307813423,1.0,0.006689620510188986,-0.0008774357680270128,0.05,5.4804377962980556e-15,NO_HIT
