0 -0x1.3543e5d92523p-10 -0x1.3543e5d924b55p-10 0x1.fffffffffff85p-1 0x1.000000000003fp+0 -0x1.1fe0000000002p-48 0x1.1fa0000000002p-48 -0x1.ee70000000002p-49 0x1.ee40000000002p-49 0.9388214 262144
1 -0x1.344494eaebf63p-10 -0x1.344494eaeb88dp-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1dd0000000002p-48 0x1.1dc0000000002p-48 -0x1.eb10000000002p-49 0x1.eae0000000002p-49 1.0002563 262144
2 -0x1.3249aa1764d3ep-10 -0x1.3249aa1764669p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1c40000000002p-48 0x1.1c90000000002p-48 -0x1.e8f0000000002p-49 0x1.e980000000002p-49 0.9220829 262144
3 -0x1.2f5a7d9ffdc34p-10 -0x1.2f5a7d9ffd565p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1bb0000000002p-48 0x1.1b70000000002p-48 -0x1.e890000000002p-49 0x1.e8b0000000002p-49 1.0281733 262144
4 -0x1.2b81de189c7e7p-10 -0x1.2b81de189c11dp-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1a30000000002p-48 0x1.1a30000000002p-48 -0x1.e860000000002p-49 0x1.e810000000002p-49 0.9291969 262144
5 -0x1.26cdd1d97ea12p-10 -0x1.26cdd1d97e351p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1640000000002p-48 0x1.1670000000002p-48 -0x1.e3d0000000002p-49 0x1.e400000000002p-49 0.979078 262144
6 -0x1.214f46d9da746p-10 -0x1.214f46d9da08ep-10 0x1.fffffffffff87p-1 0x1.000000000003fp+0 -0x1.13e0000000002p-48 0x1.13f0000000002p-48 -0x1.e300000000002p-49 0x1.e2e0000000002p-49 0.8591565 262144
7 -0x1.1b19b3913f645p-10 -0x1.1b19b3913ef96p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1180000000002p-48 0x1.1160000000002p-48 -0x1.e200000000002p-49 0x1.e200000000002p-49 0.9685218 262144
8 -0x1.1442abef62c6dp-10 -0x1.1442abef625ccp-10 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.0b50000000002p-48 0x1.0b90000000002p-48 -0x1.dad0000000002p-49 0x1.db30000000002p-49 1.0379003 262144
9 -0x1.0ce16dcc500d7p-10 -0x1.0ce16dcc4fa3fp-10 0x1.fffffffffff87p-1 0x1.000000000003fp+0 -0x1.09a0000000002p-48 0x1.09a0000000002p-48 -0x1.dba0000000002p-49 0x1.db60000000002p-49 0.9186398 262144
10 -0x1.050e6863859bfp-10 -0x1.050e686385336p-10 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.0350000000002p-48 0x1.0390000000002p-48 -0x1.d4d0000000002p-49 0x1.d4f0000000002p-49 0.9178575 262144
