index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.1026394415955604,0.1026394415955604,True,-0.8973605584044396,0.0001245080619439747,2.220446049250313e-16,6.996581620242011e-17,0.8413009477735757,1.0,0.01,-0.002117400743046005,0.32000000000000006,5.54012239696602e-15,NO_HIT
0,spectrum_local,0.35,0.12,True,0.12066119608273153,0.12066119608273153,True,-0.8793388039172685,8.919985986497248e-05,0.0,7.9602532922503e-17,0.6544288180355898,1.0,0.01,-0.0016723752485638954,0.3,5.54012239696602e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,False,0.1008086849017004,0.1008086849017004,True,-0.8991913150982996,0.00010409533383810583,0.0,5.982055295835311e-17,0.3605163556737388,1.0,0.01,-0.001290396633702784,0.3,5.560001062019761e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,True,0.12449051711973218,0.12449051711973218,True,-0.8755094828802679,6.204593372392039e-05,0.0,1.962192061767452e-16,0.6870083798990643,1.0,0.01,-0.0017937380686579019,0.3,5.53785769249894e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,False,0.06584454637153463,0.06591763225771222,False,-0.9341554536284654,9.241648661807386e-05,0.0,1.2015385004426307e-16,0.008204671578654198,1.0,0.01,-0.0007278071600005376,0.3,5.577127341440171e-15,NO_HIT
4,spectrum_local,0.35,0.12,False,0.10690711638826801,0.10690711638826801,True,-0.893092883611732,5.7630475317478636e-05,2.220446049250313e-16,2.0045893723479512e-16,0.00935526462325419,1.0,0.01,-0.001084629687216676,0.3,5.53785769249894e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,False,0.07627206355848722,0.07627206355848722,True,-0.9237279364415127,0.00011245208489490946,-1.1102230246251565e-16,4.1981064669132014e-17,0.036252693788479944,1.0,0.01,-0.0007826421779277837,0.3,5.565295557386689e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,False,0.09804779396961869,0.09804779396961869,True,-0.9019522060303813,9.335969123384384e-05,-2.220446049250313e-16,4.5380242291012926e-17,0.150261718774845,1.0,0.01,-0.0011278891867760876,0.3,5.7122988478720205e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,False,0.10960608102386817,0.10960608102386817,True,-0.8903939189761318,0.00011001318202308112,-2.220446049250313e-16,4.24606369835761e-17,0.17848509052018371,1.0,0.01,-0.0012708185364491698,0.3,5.692529773024769e-15,NO_HIT
8,spectrum_local,0.35,0.12,False,0.09767272155436516,0.09767272155436516,True,-0.9023272784456349,0.00011646443530166018,-1.1102230246251565e-16,8.328858742381145e-17,0.31770141979301486,1.0,0.01,-0.0012944221113428966,0.3,5.53785769249894e-15,NO_HIT
