mask,p_center,p_first,p_second,p_radial_first,p_minus,p_plus
0,0.00098865428074223854,-0.00026208856336517911,-0.0011017353933538616,-0.005006274445368877,0.0010181261659095145,0.00089099568012828562
1,0.0015552147455226383,-0.00024776513926005379,-0.0012218045754241018,-0.004901238288130977,0.0015777194834896142,0.0014567111547938293
2,0.002026415098086912,-0.00017813013786897443,-0.0015924517899317306,-0.0042293755448229563,0.00202040078764221,0.0019333776539099778
3,0.001934166085897404,-0.00023594841010083248,-0.00078027911684525248,-0.0042882067057265997,0.0019675646127230986,0.0018518217539212659
4,0.0025954673711801397,-7.8941359106108038e-05,-0.0019502092313621795,-0.0031099645280457779,0.0025540603835520724,0.002515558385998643
5,0.0025032183589906295,-0.00013675963133796609,-0.0011380365582757004,-0.0031687956889494191,0.0025012242086329605,0.0024340024860099335
6,0.0026240370796936831,-0.00023595883074884738,0.00019093436316262161,-0.0033213630659208074,0.0026877581312130393,0.0025711724413492319
7,0.0022419746392922987,-0.0001346457103902566,-0.0013133418009400935,-0.0033087369013514198,0.0022338371634711579,0.0021685687666611118
8,0.0027837943535481439,-2.0685253265504207e-05,-0.0019574517118280169,-0.0022605340239367699,0.002727800491504622,0.0027178997859500227
9,0.0036383369211770806,6.1617926187766635e-05,-0.0018714673451365954,-0.00094788955939506157,0.0035649618234526834,0.0035947823731872666
10,0.0031671365686128097,-8.0170752033125914e-06,-0.0015008201306289685,-0.0016197523027030836,0.0031222805193000915,0.0031181158740711213
11,0.0030223206949276304,-0.00010595380256945479,-0.00036226057447523766,-0.0019400110309057794,0.0030367924981563868,0.0029847466210679344
12,0.0033181738321532489,-0.0001219879529760801,0.00013241916426682702,-0.0016831956363119465,0.0033520922867565648,0.0032917171192101769
13,0.0031733579584680648,-0.00021992468034222202,0.0012709787204205555,-0.0020034543645146398,0.0032666042656128609,0.0031583478662069874
14,0.0030525392377650112,-0.00012072548093134071,-5.7992201017764828e-05,-0.0018508869875432515,0.0030800703430327817,0.0030211779108676898
15,0.0024876284175064309,-7.1552056523274192e-06,-0.002421095680016644,-0.0025230139956795676,0.0024138850533721281,0.0024110338296368184
16,0.0027837943535481413,-2.0685253265504163e-05,-0.0019574517118280143,-0.0022605340239367677,0.0027278004915046242,0.0027178997859500227
17,0.0038755179195450874,0.00011987403202837065,-0.0016892657296024337,9.0985040713946995e-05,0.0037936428544052422,0.0038520646961386473
18,0.0044632056658009287,0.0002338344891531231,-0.0021618474484903548,0.0013107161101286002,0.0043389655284387079,0.004452755061427561
19,0.00423964168848042,0.00010720585396617894,-0.00095006140680147964,0.00064603922348026158,0.0041834269036097743,0.0042361126850175498
20,0.0038941533927076975,0.00013464571039025657,-0.0018040900070599047,0.00019130509335142128,0.0038053059325288429,0.0038705743293388855
21,0.0036705894153871931,8.0170752033126405e-06,-0.00059230396537103243,-0.00047337179329691703,0.0036497673076999089,0.0036539319529288812
22,0.0039310616691313541,-0.00010594338192143995,0.0014729177535168895,-0.00010046286271157069,0.004002172133666446,0.0039509690876399686
23,0.0032864660577754234,6.7546031585734569e-06,-0.0012188403120864404,-0.0011226281540656084,0.0032474070204236917,0.0032500889302713642
24,0.0034462442955195821,-0.00010720585396617905,0.00044957731080148063,-0.0011465233194802617,0.0034863484233902263,0.0034336626419824521
25,0.004491372968020854,-6.7650238065883768e-06,0.0010799819840943135,0.000979399985871399,0.0045267020940662483,0.0045231773531566009
26,0.00390368522176502,-0.00012072548093134105,0.0015525637029822367,-0.00024033108354325382,0.0039813794200327778,0.0039224869878676915
27,0.0036867169605873037,-0.00023509696119786212,0.0026274670057749448,-0.00086781656689729092,0.0038261770112850801,0.0037109047429149293
28,0.00375264795822458,-6.754603158573528e-06,-8.0675591913559449e-05,-0.00017688774993439239,0.003751567652576305,0.0037488857427286364
29,0.0035356796970468706,-0.00012112608342509487,0.00099422771087915077,-0.00080437323328843029,0.0035963652438286025,0.0035373034977758742
30,0.0032752074433027097,-7.1656263003423323e-06,-0.0010709940080087695,-0.0011772821638737761,0.0032439604178620715,0.0032402663630647821
31,0.0026640152931568543,0.00012113650407310966,-0.0038512052868870236,-0.0020482345025173618,0.002514011564681454,0.0025739161417961611
32,0.0025954673711801419,-7.8941359106108092e-05,-0.0019502092313621808,-0.0031099645280457796,0.0025540603835520724,0.002515558385998643
33,0.0038266639035450835,0.00011987403202837055,-0.0018787098256024322,-9.8459055286052741e-05,0.0037387019314052404,0.0037971237731386459
34,0.0045753021848025984,0.0002773084959838262,-0.0022788880754908464,0.0018308342974059282,0.0044369719997575949,0.0045716734386066615
35,0.0043647261678467541,0.00012198795297607998,-0.00065081916426682667,0.0011647956363119443,0.0043141014632434331,0.0043744766307898236
36,0.0052534649928974832,0.00041997128157739491,-0.00277160204792178,0.0034524475974604283,0.0050650564899863476,0.0052691909708744234
37,0.0050428889759416458,0.00026465073856964913,-0.0011435331366977644,0.0027864089363664477,0.0049421859534721892,0.0050719941630575915
38,0.0052948716214168186,0.00013678047263399607,0.0010688814062599541,0.0031083802173378391,0.0052931106583871592,0.0053620180431341348
39,0.0044848271229635398,0.00024860616751500898,-0.0022587558219478252,0.0014289520667660743,0.0043542101835623058,0.0044748462716277968
40,0.003894153392707701,0.00013464571039025665,-0.0018040900070599058,0.00019130509335142152,0.0038053059325288429,0.0038705743293388889
41,0.0050787550315769779,0.00029334264639045108,-0.0013703719102329088,0.0029772148068120913,0.0049644587881574141,0.0051074895174644122
42,0.0043301167503194691,0.0001359081824349957,-0.00097019366034449734,0.0010479214541201127,0.0042661887198050582,0.004332939851996404
43,0.0041261364495064293,-7.1552056523273938e-06,0.00052099251198335671,0.0004190741963204321,0.0041436543993721301,0.0041408031756368186
44,0.0046281844055909164,8.0274958513275232e-06,0.0014323184586210946,0.0015556204708972918,0.0046700878662099708,0.0046750953425009137
45,0.0044242041047778792,-0.00013503589223599582,0.0029235046309489515,0.00092677321309761202,0.0045475535457770392,0.0044829586661413292
46,0.0041722214593027055,-7.1656263003422688e-06,0.0007110900879912297,0.00060480193212622329,0.0041966288408620701,0.0041929347860647807
47,0.0033955804220595137,0.00012026421387410968,-0.0027050003534914769,-0.00092341326573508649,0.003282544626099356,0.0033402929506584295
48,0.0033181738321532489,-0.00012198795297608011,0.00013241916426682716,-0.0016831956363119469,0.0033520922867565648,0.0032917171192101769
49,0.0046194434313871942,8.0170752033125727e-06,0.0013971401306289682,0.0015160723027030833,0.0046609582306999112,0.0046651228759288788
50,0.0053063472136858116,0.00015069028144489686,0.00093960448619015695,0.0031772337709517987,0.0052981723564387243,0.0053726128747686808
51,0.0050346260577754176,6.7546031585734569e-06,0.002173799687913557,0.0022700118459343887,0.0051013845204236881,0.0051040664302713628
52,0.0046281844055909085,8.0274958513275062e-06,0.0014323184586210924,0.0015556204708972899,0.0046700878662099708,0.0046750953425009093
53,0.0043564632496805337,-0.00013590818243499586,0.0026665136603444984,0.00064839854587988763,0.0044733000301949424,0.0044065488980035965
54,0.0046213994673819161,-0.00027858138867657993,0.0051314093047833079,0.0009945970776311739,0.004850858404456127,0.0047138313991637948
55,0.0038635721799687331,-0.0001207150602833259,0.00139829793497436,-0.00039022701134904474,0.0039355681325428408,0.0038775185314397229
56,0.0037526479582245765,-6.7546031585735246e-06,-8.0675591913559477e-05,-0.00017688774993439161,0.003751567652576305,0.0037488857427286364
57,0.004859125241601322,0.00013550757994124183,0.00025355444355241883,0.0022659634003749365,0.0048338429666008849,0.0049004247849045819
58,0.004172221459302709,-7.1656263003423323e-06,0.00071109008799123046,0.00060480193212622373,0.0041966288408620701,0.0041929347860647842
59,0.0039398757326024004,-0.00013549715929322696,0.0018926638844397078,-0.00011537523218072827,0.0040318204189091784,0.0039660814316674464
60,0.0038741538040312625,0.00012071506028332587,-0.0016914220309743599,9.710291534904513e-05,0.0037927296944571566,0.0038507792955602771
61,0.0036418080773309557,-7.6164727095586257e-06,-0.00050984823452588464,-0.00062307424895790729,0.0036279212725042658,0.003623925941162938
62,0.0033768718596295707,0.00013505673353202556,-0.0029747438789646963,-0.00096927278070919496,0.0032503628982430799,0.0033166434400027419
63,0.0027350860296534449,0.00024945761641797961,-0.0056721215073276317,-0.0019717696024046196,0.0024977044281242864,0.0026188111066214625
64,0.0020264150980869138,-0.00017813013786897451,-0.0015924517899317311,-0.0042293755448229572,0.00202040078764221,0.0019333776539099778
65,0.0030722706320838573,-3.7570852575099713e-05,-0.0014957939997061491,-0.0020493846721722415,0.0030348838045428264,0.0030161832180986008
66,0.003845299376707701,0.00013464571039025671,-0.0019935341030599065,1.8609973514211518e-06,0.0037503650095288411,0.0038156334063388911
67,0.0036676034313871926,8.0170752033126202e-06,-0.00061021986937103215,-0.0004912876972969169,0.0036461857306999096,0.0036503503759288815
68,0.0045753021848025941,0.00027730849598382593,-0.0022788880754908442,0.001830834297405926,0.0044369719997575949,0.0045716734386066528
69,0.004397606239482087,0.00015067986079688193,-0.00089557384180197046,0.0013376856027575883,0.0043327927209286651,0.0044063904081966454
70,0.004625198421590912,8.0274958513275435e-06,0.0014144025546210929,0.0015377045668972915,0.0046665062892099693,0.0046715137655009139
71,0.0039347347782349856,0.00012072548093134082,-0.0014488837029822351,0.00034401108354325339,0.0038603818299672212,0.0039192742621323093
72,0.0044632056658009287,0.00023383448915312313,-0.002161847448490354,0.0013107161101286011,0.0043389655284387001,0.0044527550614275532
73,0.0058331483030382054,0.00045078753099392127,-0.0017532877361291924,0.004928140423698278,0.0056682769150198315,0.0058884300725044582
74,0.0050601195584143634,0.00027857096802856509,-0.0012555476327754363,0.0028768947541746178,0.0049527957100338107,0.0050889798842641701
75,0.0048232591859659934,0.00010681567212043999,0.00048039321708756192,0.0020751575299292934,0.0048115701319156566,0.0048649294304977603
76,0.0053063472136858116,0.00015069028144489694,0.0009396044861901563,0.0031772337709517992,0.0052981723564387243,0.0053726128747686808
77,0.0050694868412374345,-2.1065014463228269e-05,0.0026755453360531524,0.0023754965467064713,0.0051569467783205624,0.0051485624210022719
78,0.0048418946591286044,0.00012158735048232595,0.0003655689396300891,0.0021754775825667668,0.0048232332100392574,0.004883439063698005
79,0.0039456727667880704,0.00024814490045777811,-0.0035148724724570705,0.00016152771748773604,0.0037763729796944424,0.003895864960153921
80,0.0031671365686128097,-8.0170752033126371e-06,-0.0015008201306289683,-0.0016197523027030839,0.0031222805193000889,0.0031181158740711213
81,0.004397606239482087,0.00015067986079688193,-0.00089557384180197035,0.0013376856027575879,0.0043327927209286694,0.0044063904081966497
