79 0x1.2191f65f10dd8p+0 0x1.2191f65f10dd9p+0
80 0x1.1e6e09a0ef227p+0 0x1.1e6e09a0ef228p+0
81 0x1.1b4dfbe45c67bp+0 0x1.1b4dfbe45c67cp+0
82 0x1.183981a137a83p+0 0x1.183981a137a84p+0
83 0x1.153832c52a701p+0 0x1.153832c52a702p+0
84 0x1.125177fb0f519p+0 0x1.125177fb0f51ap+0
85 0x1.0f8c7866dd001p+0 0x1.0f8c7866dd002p+0
86 0x1.0cf008031e8fcp+0 0x1.0cf008031e8fdp+0
87 0x1.0a8296cb73136p+0 0x1.0a8296cb73137p+0
88 0x1.084a20dd95505p+0 0x1.084a20dd95506p+0
89 0x1.064c1fb80c78bp+0 0x1.064c1fb80c78cp+0
90 0x1.048d7cbae691cp+0 0x1.048d7cbae691dp+0
91 0x1.0312850bc3388p+0 0x1.0312850bc3389p+0
92 0x1.01dedefb09791p+0 0x1.01dedefb09792p+0
93 0x1.00f581046dcf2p+0 0x1.00f581046dcf3p+0
94 0x1.0058aa80f75aep+0 0x1.0058aa80f75afp+0
95 0x1.0009de1c86928p+0 0x1.0009de1c86929p+0
96 0x1.7ff621e3796d7p+0 0x1.7ff621e3796d8p+0
97 0x1.7fa7557f08a51p+0 0x1.7fa7557f08a52p+0
98 0x1.7f0a7efb9230dp+0 0x1.7f0a7efb9230ep+0
99 0x1.7e212104f686ep+0 0x1.7e212104f686fp+0
100 0x1.7ced7af43cc77p+0 0x1.7ced7af43cc78p+0
101 0x1.7b728345196e3p+0 0x1.7b728345196e4p+0
102 0x1.79b3e047f3874p+0 0x1.79b3e047f3875p+0
103 0x1.77b5df226aafap+0 0x1.77b5df226aafbp+0
104 0x1.757d69348cec9p+0 0x1.757d69348cecap+0
105 0x1.730ff7fce1703p+0 0x1.730ff7fce1704p+0
106 0x1.7073879922ffep+0 0x1.7073879922fffp+0
107 0x1.6dae8804f0ae6p+0 0x1.6dae8804f0ae7p+0
108 0x1.6ac7cd3ad58fep+0 0x1.6ac7cd3ad58ffp+0
109 0x1.67c67e5ec857cp+0 0x1.67c67e5ec857dp+0
110 0x1.64b2041ba3984p+0 0x1.64b2041ba3985p+0
111 0x1.6191f65f10dd8p+0 0x1.6191f65f10dd9p+0
112 0x1.5e6e09a0ef227p+0 0x1.5e6e09a0ef228p+0
113 0x1.5b4dfbe45c67bp+0 0x1.5b4dfbe45c67cp+0
114 0x1.583981a137a83p+0 0x1.583981a137a84p+0
115 0x1.553832c52a701p+0 0x1.553832c52a702p+0
116 0x1.525177fb0f519p+0 0x1.525177fb0f51ap+0
117 0x1.4f8c7866dd001p+0 0x1.4f8c7866dd002p+0
118 0x1.4cf008031e8fcp+0 0x1.4cf008031e8fdp+0
119 0x1.4a8296cb73136p+0 0x1.4a8296cb73137p+0
120 0x1.484a20dd95505p+0 0x1.484a20dd95506p+0
121 0x1.464c1fb80c78bp+0 0x1.464c1fb80c78cp+0
122 0x1.448d7cbae691cp+0 0x1.448d7cbae691dp+0
123 0x1.4312850bc3388p+0 0x1.4312850bc3389p+0
124 0x1.41dedefb09791p+0 0x1.41dedefb09792p+0
125 0x1.40f581046dcf2p+0 0x1.40f581046dcf3p+0
126 0x1.4058aa80f75aep+0 0x1.4058aa80f75afp+0
127 0x1.4009de1c86928p+0 0x1.4009de1c86929p+0
