index,seed,sizes,mode,margin,H,largest_hessian_eigenvalue,step,gap,endpoint_margin,status,parameters,direction,error,batch,cross_coupling_norm,connected_at_1e-10,cross_direction_norm
0,2026090803,"[4, 4, 4]",0,0.12060886520643455,7.5986336302655,-0.00011574681269218834,0.03395142357261349,-3.6398152225558533e-06,0.12043619212244037,NO_HIT,"[0.14706775813610923, 0.44959237101986804, 0.6116962131733495, 0.8299955662311455, -0.02362290943977465, 0.0011610651436281488, 0.12521886652385159, 0.05190268379135317, 0.8262499221353973]","[-9.557962563891684e-09, 2.9902772800653466e-07, -6.379114984598092e-08, 5.211400199815708e-08, -0.0010338673416272672, -0.999999417963578, -9.684551207474028e-07, 0.0003085283596008279, 2.0413838221080017e-07]",,batch01,0.08066323211244064,True,1.414213562372334
1,2026090803,"[6, 6]",0,0.14961177839208906,6.757276449014783,-0.003537861983875344,0.06894889272758338,-2.243688170278091e-05,0.14960997458201408,NO_HIT,"[0.27585594753343623, 0.8503882216079109, 0.6571479597771522, -0.021772843230232968, 0.6081967848322464]","[2.797817459356771e-05, -2.616155247206161e-05, -0.00013446177463079, -0.9999999834574546, 0.00011635255184695196]",,batch01,0.030791450187618693,True,1.414213538978403
2,2026090803,"[3, 3, 3, 3]",0,0.1318031500265623,7.101325420193746,-0.011879611473963072,0.04997273413558326,-2.7703001448387e-05,0.12136377960428125,NO_HIT,"[0.7131719849379996, 0.7451772140558239, 0.13986040026498506, 0.2216915256225404, 0.286185570858422, 0.00032126396909286484, 0.07897808849148893, -0.0970094762555425, 0.41315969284890974, -0.17191190596904324, 0.029510118512184824, 0.35110800959324107, -0.08570535161079951, 0.20025154890307134]","[4.693766129527656e-06, 1.1220137413775734e-05, 0.00013072764863398083, 0.08263395538482848, -9.934714182364677e-06, -0.9825480170890147, 0.00298619398999706, 0.003080680226826889, -3.1133640967119836e-05, -0.00041411357891099415, -0.01963228351636229, -0.000338345153205242, 0.0012714056256273355, -0.16542450932441496]",,batch01,0.3268591071361638,True,1.3898246136467354
3,2026090803,"[8, 8, 8]",0,0.08143092445085631,12.341675729138895,-0.011396781232970067,0.052776126545213665,-2.0916497732059725e-05,0.0814269222132401,NO_HIT,"[0.195078997460931, 0.31997374836211584, 0.9185690755491437, 0.5834914478583522, 0.19603045119706575, 0.036354421640324375, 0.5169408597700509, 0.06581321898291669, 0.6998026056669896]","[-0.00012224633622316266, 3.806720476590153e-05, 7.583424321155057e-05, 0.0008090441389561862, 0.0033084728972047617, -0.996111516395285, -0.0002544489039848446, 0.08803385318103855, -0.000447398143858946]",,batch01,0.2969207354235167,True,1.4142128965570397
4,2026090803,"[2, 4, 8]",0,0.18216405736913308,7.852761177975883,-0.007206740783203731,0.04202549697625298,-7.1377168398001345e-06,0.1484212133212578,NO_HIT,"[0.6663067728399412, 0.7585764407836986, 0.18418555539701373, 0.42729163420537125, 0.019080434434514376, -0.08318102195282129, 0.3358367955245158, -0.07345349660280255, 0.2398683378901427]","[1.126191335147081e-05, 2.6145111729299333e-06, -0.14126152901268435, -1.184749924131401e-05, -0.0018656371815550527, 0.007325295028160419, -7.98256095490902e-06, 0.006825101819474459, 0.9899199248015258]",,batch01,0.1592392009180118,True,0.01440295554315058
5,2026090803,"[10, 10, 10]",0,0.07203261008981687,18.341335914224626,-0.0005898680203242177,0.03854654056421918,-5.688036601725344e-07,0.06072863480400392,NO_HIT,"[0.6982540608921382, 0.19217862340847297, 0.6059531541156052, 0.789266572439696, 0.015136313450050145, -0.17610418307993023, 0.7414701103794804, -0.1272384776678125, 0.5883329442258098]","[-0.00015440093600811708, -1.2064134253947367e-06, 0.11039902126472141, 0.001390669522164894, 0.018284924542489877, 0.0015287121969785565, 1.2892683689683905e-05, -0.00022798212614352206, -0.9937169469886231]",,batch01,0.30799812169014984,True,0.025951007778334183
6,2026090803,"[4, 4, 4]",1,0.0006663391183665546,4.244336708244883,-0.02435846353703034,0.00021799151525261353,-5.791545021338607e-10,0.0005381963344164298,NO_HIT,"[0.9646105335040356, 0.9813735770458795, 0.18641808676625035, 0.6569155668444361, -0.012422315057288537, -0.10659688610579607, 0.9881858156822566, 0.0005773817324507551, 0.9643027499799655]","[-1.3376261862835629e-05, 0.0002217842210279596, 9.533758282880766e-06, 4.6627410856887824e-05, -0.23555515160072515, -0.0002585231596065955, -0.0006838849883332436, -0.9718606810585282, 3.165026250494087e-05]",,batch01,0.15177314260764033,True,1.414213194442345
7,2026090803,"[6, 6]",1,0.017113540320162823,7.263830593125063,-0.9969733701635416,0.031126540210500587,-0.00048407894863977674,0.013745780111316025,NO_HIT,"[0.8046840114307953, 0.7934354677047069, 0.2796512942137662, 0.17750064722982617, 0.1371209651561945]","[0.1175288640662278, 0.020176891071853942, -0.8176751658191165, -0.531030139029551, -0.18760110293629084]",,batch01,0.2510238226424225,True,0.7509900246444612
8,2026090803,"[3, 3, 3, 3]",1,0.006640901405944044,6.4777011930027495,-0.1746172916670133,0.06352676143751719,-0.0004032927720691859,0.006101521206194524,NO_HIT,"[0.8863859865770007, 0.3874058306507216, 0.9721537836573766, 0.9224021354767834, 0.5637375110871494, -0.16693267825044414, -0.049472661407269955, 0.025611946301244536, 0.30049459041539633, 0.07096781329418426, 0.2489460728636599, 0.024029075938386015, 0.05303976940089746, 0.4887770072604408]","[-0.00039858445174217546, -0.14077823129935993, 2.1339964973148805e-05, -0.0006636303663018696, 0.0014894512854552705, 0.11331644024323649, 0.0257526616370246, 0.9402207761406023, 0.2861943269835545, 0.019162585506195352, -6.351029009659176e-05, 7.167856659740249e-05, -0.01957214174823822, 0.0015076189191385455]",,batch01,0.44898514439571335,True,1.3403501039255967
9,2026090803,"[8, 8, 8]",1,0.004128766414091895,13.417411203600366,-0.029310016050423212,0.0015816087058100337,-3.6801120373297636e-08,0.003323913446671308,NO_HIT,"[0.59534239976677, 0.9875024727334888, 0.69222219438517, 0.030190790343158688, 0.04431443031698108, 0.034952383367803104, 0.0845984463568563, 0.06774848381548465, 0.06451605126138933]","[-0.0009516089056109414, -6.33154328293084e-07, -0.00039149433703829857, 0.007637402152162871, 0.0016661960095501964, 0.9999630626780941, -7.704910013610753e-06, 0.0010513539867877191, 0.0032562135023071976]",,batch01,0.12470200396710099,True,1.4141640698836198
