index,n,mode,margin,entropy,min_atom,normalization_residual,lambda_max,fisher_along_top,acceleration_along_top,direction_rank,direction_singular_1,direction_singular_2,step,gap,endpoint_margin,status
0,3,0,0.14328590461803858,1.8312923886783414,0.03150592090085748,2.220446049250313e-16,-1.791277730725088,-1.2001782245990367,-0.5910995061260531,3,1.0000000000000002,0.9452536339122541,0.04360502036374107,-0.0017404532392295557,0.11949658581540734,NO_HIT
1,3,1,0.00010000000000010001,1.1349753589647718,1.263927397553338e-05,2.220446049250313e-16,-8.963685056104984,-8.471702616316001,-0.49198243978901757,3,0.9999999999999999,0.07101909657287621,0.006442229928027636,-0.00018608044678658509,9.388051198100378e-05,NO_HIT
2,3,2,0.039999999999999813,1.7682668200746545,0.019199999999999967,2.220446049250313e-16,-3.7064118372859673,-4.1099163680847814,0.4035045307988135,3,0.9999999999999999,0.41859423613140834,0.0714943068750064,-0.009541742848973467,0.03615113228481193,NO_HIT
3,3,3,0.24109653688547467,1.925984160979393,0.04640143412270407,1.1102230246251565e-16,-0.41921783818833475,-0.27932389536825114,-0.13989394282008183,3,1.0000000000000002,0.9882212355992904,0.06994535185062005,-0.0012634854170257004,0.22093746376791468,NO_HIT
4,4,0,0.21325510063354303,2.6377297084217997,0.02384922714989426,0.0,-0.37288616717256684,-0.24912005780941263,-0.12376610936315346,4,1.0000000000000002,0.9644663968149424,0.06752880850614945,-0.0009844759351378407,0.1998808349696266,NO_HIT
5,4,1,0.0010776602225019971,2.439088382392652,7.374062739504153e-05,0.0,-0.9074606772589704,-0.5911420728883978,-0.31631860437058534,4,0.9999999999999997,0.9901050770320291,0.019125565672298384,-0.0001673700950424184,0.0010070722564503587,NO_HIT
6,4,2,0.040000000000000036,2.460677806286644,0.00869717333333333,2.220446049250313e-16,-1.5288528726273678,-1.0223978111005723,-0.5064550615267949,4,1.0000000000000002,0.9654861620827895,0.03582861469594854,-0.000996168511261608,0.034216076243726135,NO_HIT
7,4,3,0.277311394996965,2.711269926851789,0.03212978796719382,0.0,-0.00044611182260683867,-0.0002974078839901414,-0.0001487039386178779,4,0.9999999999999999,0.9999999937796916,0.09446816687529433,-0.0006434880855801239,0.27168152435639153,NO_HIT
8,5,0,0.09349501178606524,3.018469562919569,0.0018065905597887744,0.0,-0.08527232515197608,-0.056894442078946325,-0.02837788307302891,5,1.0,0.9997138191024091,0.03901446471091056,-9.982431411836856e-05,0.08402259909567437,NO_HIT
9,5,1,0.0008366732722951964,2.2756175336568587,3.0278352262025268e-05,0.0,-1.6932718774629976,-1.1518203550785768,-0.5414515223844225,5,0.9999999999999999,0.9780065245401369,0.004868188135311143,-2.0112504240277218e-05,0.0008288712683336419,NO_HIT
10,5,2,0.03999999999999991,3.236641851034831,0.003784319999999996,4.440892098500626e-16,-0.7754722808643487,-0.5163008654414546,-0.25917141542289457,5,0.9999999999999998,0.9803015173078511,0.04465230039488806,-0.0008091331264314938,0.03750505642249413,NO_HIT
11,5,3,0.3420112121954675,3.421706822083414,0.01737085572840278,1.1102230246251565e-16,-0.005962946164278907,-0.003975308744416997,-0.0019876374198631863,5,0.9999999999999997,0.999998017181354,0.08392561102452208,-0.00043377674641220665,0.29619604994368187,NO_HIT
12,6,0,0.09923994077742149,3.79388373855089,0.0006723034860772517,0.0,-0.13814151807522668,-0.09216654610532116,-0.04597497196990641,6,1.0000000000000002,0.9994585786506285,0.03257371779044423,-9.02752145499619e-05,0.08326364446208834,NO_HIT
13,6,1,0.02238460952271326,3.125018728372187,0.00014913918983612228,0.0,-0.4905650813697454,-0.3151213765632433,-0.17544370480650295,6,0.9999999999999999,0.9986577059817364,0.04190305362643345,-0.0005301451878363395,0.021663911630530053,NO_HIT
14,6,2,0.040000000000000036,3.452756113470563,0.0005108616365117871,0.0,-0.06963995260034049,-0.04638984408439149,-0.023250108515947776,6,0.9999999999999998,0.9989057898007814,0.06855069675428276,-0.00032608337752426664,0.03884946944311629,NO_HIT
15,6,3,0.2580456369853142,4.126613249530731,0.008844674006879636,1.1102230246251565e-16,-0.006757412062517652,-0.004504948799931869,-0.0022524632625833263,6,1.0000000000000002,0.9999786375411017,0.09252850458749018,-0.0006209388256159798,0.245393710005021,NO_HIT
16,7,0,0.1561002865114407,4.676182087031702,0.0017366392134124402,2.220446049250313e-16,-0.06586540774498707,-0.043916072217289395,-0.021949335527698954,7,0.9999999999999997,0.9996232324926185,0.06040540738621578,-0.00023695699880832422,0.14633165149436878,NO_HIT
17,7,1,0.006599197278226564,4.393894072348292,1.628178720413434e-05,0.0,-0.2433790721026764,-0.16209780356807985,-0.08128126853459694,7,1.0000000000000004,0.9992089569094282,0.03146714027859865,-0.00012945956144871928,0.00611714857163664,NO_HIT
18,7,2,0.039999999999999813,4.539638271997014,0.0006781862494814809,4.440892098500626e-16,-0.3260630503720847,-0.2169564520551087,-0.10910659831697586,7,1.0000000000000002,0.9945562735241447,0.04802664094113903,-0.0004154553878601419,0.035772709260852076,NO_HIT
19,7,3,0.3066389862696088,4.762987169468063,0.002821903246385159,0.0,-0.0020536578765445747,-0.0013691059139896047,-0.0006845519625525431,7,1.0000000000000002,0.9999999004336272,0.09041505287864628,-0.0005486381873174295,0.2928926498941385,NO_HIT
20,8,0,0.13891971834198613,5.366046602686876,0.0006435619685296483,0.0,-0.13165196860621897,-0.08768941882405396,-0.04396254978216518,8,1.0,0.9997706113025587,0.07431127236248025,-0.0006513637944420836,0.1340019631067273,NO_HIT
