index,n,mode,margin,entropy,min_atom,normalization_residual,lambda_max_coordinate,lambda_max,fisher_along_top,acceleration_along_top,fisher_max_eigenvalue,acceleration_max_eigenvalue,direction_rank,direction_singular_1,direction_singular_2,step,gap,endpoint_margin,status
0,3,0,0.10667305091912638,1.8197515980990375,0.040224525604319064,0.0,-1.7596990418643534,-1.6940902190957658,-1.1312799877699558,-0.5628102313258123,-1.1645949246398073,1.814613498080666,3,0.9999999999999999,0.9531702107832004,0.041572950398878046,-0.0015004320813161165,0.09610471738371955,NO_HIT
1,3,1,0.003227823451447226,1.4634669866829968,0.001425821733981471,2.220446049250313e-16,-5.919744350756167,-4.460227691793553,-4.674984153053047,0.21475646125953077,-2.6591656608697587,8.323704418974504,3,1.0,0.1902370136596514,0.02381280337169807,-0.00126562761525717,0.002651825452686789,NO_HIT
2,3,2,0.039999999999999813,1.4323537156363018,0.01919999999999998,0.0,-2.3138439107083904,-2.1858499311856283,-1.459637281603813,-0.7262126495818166,-1.5255098905473568,3.672103548759182,3,0.9999999999999998,0.9399834053449321,0.02128144759332912,-0.0005021840201993033,0.03467186232052888,NO_HIT
3,3,3,0.2888489596515288,2.0042359517102346,0.061512749072925255,0.0,-0.47812529931279407,-0.4608915972878175,-0.30722560209216543,-0.15366599519565383,-0.31868625957348906,0.20497447433954125,3,1.0000000000000002,0.9625705223637887,0.08464517497601702,-0.0020282507811306694,0.2646433585424606,NO_HIT
4,3,0,0.1006812870456455,1.8723975681799137,0.02202814953866347,0.0,-0.6412162874464055,-0.6254867692008556,-0.4157511216160672,-0.2097356475847888,-0.42578229292796693,0.6129482975509033,3,1.0,0.9746457546287149,0.05636811816797987,-0.0010770390062666557,0.08999234540201206,NO_HIT
5,3,1,0.16914983398877087,1.732722555229004,0.017490079531273673,0.0,-0.010750046839128191,-0.0107497114745471,-0.007167344788037688,-0.00358236668650902,-0.007167566057674559,0.08727253193484477,3,1.0,0.9999688015007241,0.0558194261174566,-0.00012527244214433075,0.15468076236887085,NO_HIT
6,3,2,0.03999999999999959,1.2535966502057203,0.01908737373693883,0.0,-0.03408217868242787,-0.034080564391772844,-0.022716371259943455,-0.011364193131832678,-0.02271449225217393,3.5291507143543064,3,1.0000000000000002,0.9999525296237856,0.028093137136011578,-4.448351075381218e-05,0.038151969023163,NO_HIT
7,3,3,0.15131754615753665,1.8870470621088011,0.04312683276826127,0.0,-0.01589008503530599,-0.015888212505716093,-0.01059209628632967,-0.005296116219385194,-0.010593335720500502,0.4540551452222591,3,1.0,0.9998821411033552,0.09236782786253137,-0.0006504142467735896,0.14489296587391273,NO_HIT
8,3,0,0.23243811130448805,1.8384658538473573,0.026638883966127656,0.0,-0.1884833825640083,-0.18767125702537954,-0.12528267262853518,-0.062388584396843916,-0.12582385429516682,0.1125894106938605,3,1.0000000000000004,0.9956776976132223,0.04817323322236791,-0.0002860108141411466,0.1901092546920956,NO_HIT
9,3,1,0.00856204949603512,1.6898587736850013,0.004762953315044339,0.0,-1.2616429767566335,-1.2564214336299946,-0.9462107889190148,-0.31021064471097565,-0.9008807888201813,4.111400635558812,3,1.0000000000000002,0.9895418475034841,0.04813088025785933,-0.0015256776931740212,0.008399424012962434,NO_HIT
10,3,2,0.03999999999999987,1.707188399292675,0.01919999999999998,0.0,-2.959768642959018,-2.680447885886131,-1.8292121316166297,-0.8512357542695024,-1.9225728075581434,4.430594229622227,3,0.9999999999999999,0.8852766973877654,0.024594607613213387,-0.0008184548817069537,0.03439367477634292,NO_HIT
11,3,3,0.3200960115533096,2.008454795739657,0.058402623681602095,0.0,-0.011560507708631785,-0.011560261484187718,-0.0077070268512642965,-0.003853234632922975,-0.007707189913200204,0.061111182257355644,3,1.0000000000000002,0.9999787001367758,0.07325210447716465,-0.0002880051303781883,0.2696304660623758,NO_HIT
12,3,0,0.31856685201706947,1.9953561757241545,0.058585140750690226,0.0,-0.005710774835844577,-0.005710744033054665,-0.003807235680326215,-0.001903508352729233,-0.0038072560801252,0.04611701081417916,3,1.0000000000000002,0.9999946060800188,0.06938922045538032,-0.0002336192648360047,0.2643889387359528,NO_HIT
13,3,1,0.0031662902979147397,1.156361527701352,0.00012881185157277608,0.0,-0.5894870705964537,-0.5819131763826204,-0.3433522509751823,-0.23856092540744278,-0.3461884458214531,1.5327908497471459,3,1.0,0.9868094379016183,0.007087769148418535,-1.4830842138824352e-05,0.0027880330928985388,NO_HIT
14,3,2,0.039999999999999925,1.7472276018601045,0.01919999999999995,0.0,-4.2549979016583155,-3.8273498264659143,-3.8717543307686535,0.04440450430273413,-2.4462557278090222,3.8668244335795205,3,0.9999999999999999,0.4607235749970714,0.06595718102159169,-0.00839652804932478,0.036084779103703155,NO_HIT
15,3,3,0.2850773709401358,2.0371373358030564,0.0910336552565828,0.0,-0.012128569770932412,-0.012128505790947186,-0.008085671895189122,-0.004042833895758546,-0.00808571447697363,0.36785536800646934,3,0.9999999999999997,0.9999947230687131,0.08863918781336183,-0.0005503723041435649,0.2658077561352796,NO_HIT
16,3,0,0.09067086638056288,1.56549710558565,0.00984460903463745,0.0,-0.08889246936249802,-0.08888240143466104,-0.059236141257297314,-0.029646260177362382,-0.05924282577393526,0.06681639202853179,3,0.9999999999999994,0.9998866324636879,0.08332179308724415,-0.0008110648815755628,0.08946336574477409,NO_HIT
17,3,1,0.2328377777289159,1.9037404639537003,0.03343330547211419,0.0,-0.01886968317566297,-0.018868634253301923,-0.012581134522595145,-0.006287499730706969,-0.012581827308286872,0.1421183980689084,3,1.0000000000000002,0.9999444028516935,0.05725509945910772,-0.0001463204522424988,0.1960929818689478,NO_HIT
18,3,2,0.040000000000000036,1.662051560615341,0.01919999999999994,0.0,-1.4292939356487806,-1.4023973595959836,-0.9267990497763516,-0.47559830981963147,-0.9279044654028615,4.1799518704658,3,0.9999999999999999,0.9801767924630171,0.02318685957504535,-0.00038899651638213406,0.03561728949078102,NO_HIT
19,3,3,0.07818535425588197,1.7331965138698928,0.014582542264774661,0.0,-0.684985615945918,-0.6820493752505989,-0.44867250093629174,-0.23337687431430565,-0.45015784639600837,1.3107108002857197,3,0.9999999999999998,0.9954668816577964,0.034779064525086535,-0.0004368814366508822,0.06636408091818118,NO_HIT
20,3,0,0.15069284290244,1.9766196842550685,0.05749781081041016,0.0,-0.838241847770048,-0.8377731759611553,-0.5557511563607892,-0.28202201960036644,-0.555276637927895,1.3776029675596937,3,0.9999999999999994,0.9986423977975154,0.061681408802307214,-0.0017389444719320135,0.1309221626804723,NO_HIT
21,3,1,0.022025076384486586,1.2572673212453338,0.002562084564050276,0.0,-3.5980714114466967,-3.4915588401810536,-2.3606023312142153,-1.130956508966836,-2.3357142413288825,2.007526938244916,3,0.9999999999999998,0.8732299625220443,0.00811348011393741,-0.00011553825023158382,0.017812188047090616,NO_HIT
22,3,2,0.039999999999999813,1.3840418834279415,0.007307891572737204,0.0,-2.4267101102637576,-2.368240878649293,-1.4299169263424418,-0.9383239523068516,-1.3874163980711816,2.4995011005649204,3,1.0000000000000002,0.9742288715969235,0.030645034574043703,-0.001153600736778282,0.0373900065510789,NO_HIT
