index,mode,margin,label,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,status
0,0,0.010000000000000009,frozen_logit_neighborhood,0.5139525256426993,0.5139525256426993,True,-0.48604747435730067,8.07989308412113e-12,0.0,1.8231622172159494e-16,0.2612790745293565,1.0,0.0024354546906529446,-9.9478242677975e-05,NO_HIT
1,1,0.019928877629731875,two_edge_clusters,0.5277336849840027,0.5277336849840027,True,-0.47226631501599725,9.0589325356097e-09,-1.1102230246251565e-16,3.175969542355381e-16,0.31838686196639376,1.0,0.0037106213584284517,-0.0002740221558461542,NO_HIT
2,2,0.016039556434671032,logit_spread,0.42302582107849096,0.42302582107849096,True,-0.576974178921509,5.470881587746454e-07,2.220446049250313e-16,9.288716849232885e-17,0.47694604180202593,1.0,0.00205370403765609,-6.815440778051851e-05,NO_HIT
3,3,0.01525645112844237,five_spectral_clusters,0.44982677126474774,0.44982677126474774,True,-0.5501732287352523,3.119936043589003e-10,-2.220446049250313e-16,2.221621334731962e-16,0.022864409145238976,1.0,0.00425432569534542,-0.00019736496219202593,NO_HIT
4,0,0.010000000000000009,frozen_logit_neighborhood,0.5105809425204924,0.5105809425204924,True,-0.48941905747950765,4.148891332760022e-11,-1.1102230246251565e-16,1.4391843746941452e-16,0.2909371821495442,1.0,0.0021745017293512523,-7.99554810626546e-05,NO_HIT
5,1,0.015500478650499274,two_edge_clusters,0.49787951393275137,0.49787951393275137,True,-0.5021204860672486,4.537366136785293e-08,2.220446049250313e-16,2.145918762130091e-16,0.41316719553782627,1.0,0.0025229802606350155,-0.00012749887460383746,NO_HIT
6,2,0.01900614568851194,logit_spread,0.35106036862358014,0.35106036862358014,True,-0.6489396313764199,9.365588079633735e-08,0.0,3.7041719322662227e-16,0.44142720863328466,1.0,0.0031069087303368863,-0.00018289959837325398,NO_HIT
7,3,0.01,five_spectral_clusters,0.49426188114279895,0.49426188114279895,True,-0.505738118857201,2.3079696486092548e-09,0.0,3.4142511012118235e-16,0.0716919843258763,1.0,0.0057645172440739904,-0.0005539169097739105,NO_HIT
8,0,0.010000000000000009,frozen_logit_neighborhood,0.5081874730984414,0.5081874730984414,True,-0.49181252690155863,6.088599322353982e-12,-2.220446049250313e-16,2.0036187234276274e-16,0.209194601008956,1.0,0.0025206277558376955,-0.00010148430123901875,NO_HIT
9,1,0.022577384470782183,two_edge_clusters,0.48071095164218375,0.48071095164218375,True,-0.5192890483578163,1.316850183536204e-07,0.0,7.080123427298935e-16,0.5124795943481333,1.0,0.003760553870169132,-0.0003224870698126381,NO_HIT
10,2,0.01585111593970079,logit_spread,0.49987018993899396,0.49987018993899396,True,-0.5001298100610061,3.39011268386649e-09,-2.220446049250313e-16,8.74854548226581e-17,0.2790193541053652,1.0,0.004761158286796727,-0.00037972982493972296,NO_HIT
11,3,0.013535012900211054,five_spectral_clusters,0.46329124283903095,0.46329124283903095,True,-0.536708757160969,3.4393666952527042e-09,-1.1102230246251565e-16,2.342895071265046e-16,0.2788578304449463,1.0,0.0026997681088528178,-9.627707992265755e-05,NO_HIT
12,0,0.010000000000000009,frozen_logit_neighborhood,0.5119442380912395,0.5119442380912395,True,-0.48805576190876054,7.073540324508556e-12,0.0,2.884580625716851e-16,0.2389316433117291,1.0,0.0023614532152728598,-8.867579590621233e-05,NO_HIT
13,1,0.018576992486812216,two_edge_clusters,0.5167096907087101,0.5167096907087101,True,-0.4832903092912899,3.002713625635367e-08,0.0,2.5469575451263434e-16,0.3611097965938083,1.0,0.005144416646139459,-0.0005240136639859116,NO_HIT
