id,n,gamma,proposal,c,kind,status,reason,rank,eigenvalue_ratio,step,Delta_E,Delta_A,Delta_B,I_minus,I_0,I_plus,MI_bump,marginal_deficit_sum,bump_to_deficit_ratio,information_identity_residual,geometry_term,KL_cost,JS_cost,geometry_identity_residual,curvature_E,curvature_A,curvature_B,curvature_I,min_probability,normalization_residual,mobius_max_error,marginal_kernel_max_error,quadratic_event_max_error,cross_norm_min,second_cross_singular_lower_bound,margin_min,direction_norm_A,direction_norm_B,direction_norm_X
n6_g0_p00,6,1,0,1/2,DIRECTION,ACCEPTED,,2,0.49584042700533243,,,,,,,,,,,,,,,,-0.9959018608388001,-0.5852163266845154,-0.3442894957053124,0.06639603844897224,,,,,,,,,0.48191187291291954,0.4375726482370751,0.6331175797768415
n6_g0_p00,6,1,0,1/2,CHORD,NO_SIGNAL,,2,0.49584042700533243,6931/500000,-9.56992978302651e-05,-5.622740219024536e-05,-3.307937247676307e-05,0.00027622400196405917,0.0003053178075784924,0.0003471966595195781,-6.392523163326221e-06,8.930677466700843e-05,-0.0715793755531039,6.955156936494511e-17,-2.8286056131010708e-06,9.740616032219483e-09,9.286095160199181e-05,8.600162682698143e-16,-0.9959018608388001,-0.5852163266845154,-0.3442894957053124,0.06639603844897224,0.006102764993568389,4.440892098500626e-16,,5.551115123125783e-17,2.42861286636753e-17,0.12237082507884965,0.07126600370580091,0.151965,0.48191187291291954,0.4375726482370751,0.6331175797768415
n6_g0_p00,6,1,0,1/2,CHORD,NO_SIGNAL,,2,0.49584042700533243,1083/31250,-0.000598664930070214,-0.00035148316212518793,-0.00020678725363509898,0.0002546394563235194,0.0003053178075784924,0.00043678518745277983,-4.039451430965722e-05,0.0005582704157602869,-0.07235653756548337,-2.6991213084026633e-16,-1.767980537789761e-05,3.8062918842306226e-07,0.0005806044955036782,-2.1510571102112408e-16,-0.9959018608388001,-0.5852163266845154,-0.3442894957053124,0.06639603844897224,0.006073609793493558,1.1102230246251565e-16,,5.551115123125783e-17,2.0816681711721685e-17,0.12126230003121803,0.05833458980348934,0.151347,0.48191187291291954,0.4375726482370751,0.6331175797768415
n6_g0_p00,6,1,0,1/2,CHORD,NO_SIGNAL,,2,0.49584042700533243,14729/250000,-0.0017335154744380077,-0.0010160848348239604,-0.0005978217063518088,0.00026102966953523484,0.0003053178075784924,0.0005888238121457697,-0.00011960893326200988,0.0016139065411757691,-0.07411143719317968,-2.286582381771929e-16,-5.1096025165018114e-05,3.180973947832953e-06,0.001679238475325029,-1.2771901591879242e-16,-0.9959018608388001,-0.5852163266845154,-0.3442894957053124,0.06639603844897224,0.006046439055146509,1.1102230246251565e-16,1.1796119636642288e-16,5.551115123125783e-17,3.122502256758253e-17,0.1212066089558595,0.043247732956799,0.150567,0.48191187291291954,0.4375726482370751,0.6331175797768415
n6_g0_p01,6,1,1,1,DIRECTION,ACCEPTED,,2,0.9999999999999999,,,,,,,,,,,,,,,,-0.34235895213015166,-0.09859002185310334,-0.235911947424186,0.007856982852862293,,,,,,,,,0.17094342273838262,0.3392275229312898,0.22316526715954046
n6_g0_p01,6,1,1,1,CHORD,NO_SIGNAL,,2,0.9999999999999999,1229/31250,-0.0002647984919370572,-7.624612400736197e-05,-0.0001824600920352637,0.0003057115894152567,0.0003053178075784924,0.00031710857753139356,-6.092275894832718e-06,0.00025870621604262567,-0.023549012420439584,4.012090139282609e-16,-8.66719899681779e-06,6.34024871837544e-08,0.000256067890452627,-4.286393288921442e-16,-0.34235895213015166,-0.09859002185310334,-0.235911947424186,0.007856982852862293,0.005993485771667503,2.220446049250313e-16,,5.551115123125783e-17,2.7755575615628914e-17,0.12386828530846258,0.0725077589140885,0.152143,0.17094342273838262,0.3392275229312898,0.22316526715954046
n6_g0_p01,6,1,1,1,CHORD,NO_SIGNAL,,2,0.9999999999999999,98321/1000000,-0.0016562290847392802,-0.0004766118402730335,-0.0011410094905768275,0.00032888172885195177,0.0003053178075784924,0.00035896939408446276,-3.8607753889714834e-05,0.001617621330849861,-0.023866991089584115,2.9566193243679706e-16,-5.41710956533908e-05,2.477175009271252e-06,0.0015995808140765178,-1.0039712117215771e-16,-0.34235895213015166,-0.09859002185310334,-0.235911947424186,0.007856982852862293,0.0057948998607342955,2.220446049250313e-16,,5.551115123125783e-17,2.0816681711721685e-17,0.12386828530846258,0.061439412084829864,0.151051,0.17094342273838262,0.3392275229312898,0.22316526715954046
n6_g0_p01,6,1,1,1,CHORD,NO_SIGNAL,,2,0.9999999999999999,83573/500000,-0.004794401075603361,-0.0013778290739714372,-0.0033015188517131477,0.000391694550559578,0.0003053178075784924,0.00044904736443480324,-0.00011505314991869822,0.004679347925684585,-0.024587432211907182,-7.746624522408929e-17,-0.00015655502841943175,2.0697892343979567e-05,0.004617148154840045,9.540979117872439e-17,-0.34235895213015166,-0.09859002185310334,-0.235911947424186,0.007856982852862293,0.005440449064231533,1.1102230246251565e-16,2.3071822230491534e-16,5.551115123125783e-17,2.42861286636753e-17,0.12386828530846258,0.04852637205425462,0.142234,0.17094342273838262,0.3392275229312898,0.22316526715954046
n6_g0_p02,6,1,2,2,DIRECTION,ACCEPTED,,2,0.4992136295422568,,,,,,,,,,,,,,,,-2.74249847828784,-1.2824928581855688,-1.1526877127418305,0.3073179073604404,,,,,,,,,0.9813316283020141,1.0935963337431551,1.1878997779076068
n6_g0_p02,6,1,2,2,CHORD,NO_SIGNAL,,2,0.4992136295422568,1847/250000,-7.486089213415426e-05,-3.500231778774676e-05,-3.1461179827108054e-05,0.0003394751685722561,0.0003053178075784924,0.00028795523562361904,-8.397394519445156e-06,6.646349761485482e-05,-0.12634596163004683,1.457167719820518e-16,-4.1930957936313775e-06,1.1992103455373272e-08,7.065580423670781e-05,-3.5969762324922216e-16,-2.74249847828784,-1.2824928581855688,-1.1526877127418305,0.3073179073604404,0.006098052410743843,1.1102230246251565e-16,,5.551115123125783e-17,2.0816681711721685e-17,0.1219449816899806,0.07151359277838135,0.152327,0.9813316283020141,1.0935963337431551,1.1878997779076068
