index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.4245408770003173,0.4245408770003173,True,-0.5754591229996827,5.280377361272012e-06,0.0,2.6629974240827525e-16,0.9168656049113196,1.0,0.01,-0.0023433193376636297,0.12,5.54012239696602e-15,NO_HIT
0,spectrum_local,0.35,0.12,True,0.45700088376682635,0.45700088376682635,True,-0.5429991162331737,1.3354207916124655e-06,-1.1102230246251565e-16,4.316263531784474e-16,0.8883213853434866,1.0,0.01,-0.0023493057066623635,0.09999999999999998,5.54012239696602e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,False,0.4457706273150153,0.4457706273150153,True,-0.5542293726849847,2.2809139364320086e-06,2.220446049250313e-16,3.89419354798784e-16,0.8034615883769347,1.0,0.01,-0.002300375119471454,0.09999999999999998,5.531395343420837e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,True,0.4521888806884968,0.4521888806884968,True,-0.5478111193115032,6.933566403695621e-07,0.0,1.6297090734845723e-16,0.7573407915213732,1.0,0.01,-0.0019671175826410092,0.09999999999999998,5.682182500954645e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,False,0.40325757385630695,0.40325757385630695,True,-0.5967424261436931,1.116834276307117e-06,0.0,1.5111451083347775e-16,0.7090970478680203,1.0,0.01,-0.0018460581446664293,0.09999999999999998,5.625702893740152e-15,NO_HIT
4,spectrum_local,0.35,0.12,False,0.42052081815310893,0.42052081815310893,True,-0.5794791818468911,1.1631876075397541e-06,0.0,1.5810761168430489e-16,0.606953911039939,1.0,0.01,-0.0016964211395027462,0.09999999999999998,5.682182500954645e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,False,0.4463310346991246,0.4463310346991246,True,-0.5536689653008754,6.180906177149541e-07,0.0,2.2305668530264676e-16,0.7247702283071473,1.0,0.01,-0.001895805839611242,0.09999999999999998,5.7495893554950005e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,True,0.4685145907856438,0.4685145907856438,True,-0.5314854092143562,8.018201936527332e-07,-2.220446049250313e-16,1.3240519254010728e-16,0.8244223052724295,1.0,0.01,-0.0022469104625812975,0.09999999999999998,5.719152562984871e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,False,0.3905217766807422,0.3905217766807422,True,-0.6094782233192577,4.267333975848067e-06,0.0,8.193464994263592e-17,0.5778099763103454,1.0,0.01,-0.0018467295497153202,0.1,5.6202740639057255e-15,NO_HIT
8,spectrum_local,0.35,0.12,False,0.39121485086426183,0.39121485086426183,True,-0.6087851491357381,4.939546720445097e-06,0.0,5.834507179291831e-17,0.7610347047163537,1.0,0.009999999999999998,-0.0017512103001564583,0.09999999999999998,5.719152562984871e-15,NO_HIT
9,one_basis_rotation,0.35,0.12,True,0.4707435258606341,0.4707435258606341,True,-0.5292564741393659,1.0150357331873992e-06,0.0,2.4555223823616895e-16,0.8138548979918813,1.0,0.01,-0.002318510163640042,0.09999999999999998,5.6579931418083166e-15,NO_HIT
10,three_basis_rotations,0.35,0.12,False,0.44603514625497165,0.44603514625497165,True,-0.5539648537450284,1.5141713239553955e-06,0.0,2.1736640350193623e-16,0.7231142120380919,1.0,0.01,-0.002031654325925558,0.09999999999999998,5.752487873070194e-15,NO_HIT
11,source_restart,0.5249999999999999,0.12,False,0.44995831965808675,0.44995831965808675,True,-0.5500416803419133,1.539180892544935e-06,0.0,2.8790148898402316e-16,0.8574479519458129,1.0,0.01,-0.002166144430015393,0.1,5.5971184014340024e-15,NO_HIT
12,spectrum_local,0.35,0.12,False,0.4557973317018236,0.4557973317018236,True,-0.5442026682981764,9.076974943009378e-07,0.0,1.1619541917690616e-16,0.7921042037990021,1.0,0.01,-0.0021607539418724286,0.09999999999999998,5.6579931418083166e-15,NO_HIT
13,one_basis_rotation,0.35,0.12,False,0.4549484383814581,0.4549484383814581,True,-0.5450515616185418,1.7635755486628687e-06,0.0,4.025181948251775e-16,0.7776369879530415,1.0,0.01,-0.0021956595769250242,0.09999999999999998,5.680562853636109e-15,NO_HIT
14,three_basis_rotations,0.35,0.12,False,0.4550108709185665,0.4550108709185665,True,-0.5449891290814335,1.553870984839342e-06,0.0,1.8826256371593088e-16,0.757270427443987,1.0,0.009999999999999998,-0.0022473423239155466,0.09999999999999998,5.652465615871486e-15,NO_HIT
15,source_restart,0.5249999999999999,0.12,False,0.36680845559013503,0.36680845559013503,True,-0.633191544409865,4.983068441729773e-06,-2.220446049250313e-16,1.0927911554775426e-16,0.5357929367803796,1.0,0.01,-0.0015344942751269741,0.09999999999999998,5.561434903451612e-15,NO_HIT
16,spectrum_local,0.35,0.12,False,0.44018636746683315,0.44018636746683315,True,-0.5598136325331668,1.0175250566154682e-06,-1.1102230246251565e-16,2.3556294349734756e-16,0.6866418550261049,1.0,0.01,-0.00205905243507587,0.09999999999999998,5.6579931418083166e-15,NO_HIT
17,one_basis_rotation,0.35,0.12,False,0.4365705382923381,0.4365705382923381,True,-0.5634294617076618,2.0979794141831105e-06,0.0,1.4489090520293694e-16,0.6972308820716767,1.0,0.009999999999999998,-0.002058531863868396,0.09999999999999998,5.635732455735857e-15,NO_HIT
18,three_basis_rotations,0.35,0.12,False,0.4331453058520707,0.4331453058520707,True,-0.5668546941479293,2.9566692563078747e-06,0.0,1.5756171641158692e-16,0.6875800392692568,1.0,0.01,-0.001975806959707782,0.09999999999999998,5.63386994745229e-15,NO_HIT
19,source_restart,0.5249999999999999,0.12,False,0.3799813032073243,0.3799813032073243,True,-0.6200186967926757,6.024790172380128e-06,-2.220446049250313e-16,1.762623799051879e-16,0.5805658401847081,1.0,0.01,-0.001580229968672242,0.09999999999999998,5.4525102635987194e-15,NO_HIT
20,spectrum_local,0.35,0.12,False,0.40863944724924706,0.40863944724924706,True,-0.5913605527507529,3.5455666510122e-06,0.0,1.8108657542940428e-16,0.5385058550985599,1.0,0.01,-0.0018881521046569816,0.09999999999999998,5.6579931418083166e-15,NO_HIT
21,one_basis_rotation,0.35,0.12,False,0.45955443752495484,0.45955443752495484,True,-0.5404455624750452,2.2733088120452003e-06,-2.220446049250313e-16,2.3702481874543045e-16,0.8412795696996073,1.0,0.01,-0.002406793371722671,0.09999999999999998,5.6488206791546054e-15,NO_HIT
