event,S,T,mu,a,b,p_t0,p_t2,p_t4,p_t6
43,3,5,923996060045753/50000000000000000,3958262089678278646359/4619980300228765000000,231920545459645520811997011/1154995075057191250000000000,923996060045753/50000000000000000,-3958262089678278646359/250000000000000000000000,231920545459645520811997011/62500000000000000000000000000,0
44,4,5,1047820893837247/50000000000000000,-5504181663067287965359/5239104469186235000000,7279330161285174544919271/22199595208416250000000000,1047820893837247/50000000000000000,5504181663067287965359/250000000000000000000000,429480479515825298150236989/62500000000000000000000000000,0
45,5,5,791763946823753/50000000000000000,-4170625844924445399641/3958819734118765000000,344303324014975115634934011/989704933529691250000000000,791763946823753/50000000000000000,4170625844924445399641/250000000000000000000000,344303324014975115634934011/62500000000000000000000000000,0
46,6,5,908094629733753/50000000000000000,63831731719699575779/216213007079465000000,-143159695865982458976312663/378372762389063750000000000,908094629733753/50000000000000000,-1340466366113691091359/250000000000000000000000,-429479087597947376928937989/62500000000000000000000000000,0
47,7,5,657507299605247/50000000000000000,9146825874956959051/36126774703585000000,-3783568306954428976442121/9031693675896250000000000,657507299605247/50000000000000000,-832361154621083273641/250000000000000000000000,-344304715932853036856233011/62500000000000000000000000000,0
48,0,6,1166594930291353/50000000000000000,-3887278983829615756641/5832974651456765000000,-284849702477569293190462989/1458243662864191250000000000,1166594930291353/50000000000000000,3887278983829615756641/250000000000000000000000,-284849702477569293190462989/62500000000000000000000000000,0
49,1,6,958180218847647/50000000000000000,-1939847507308308878359/4790901094238235000000,-1401336116764971151778253/13766957167351250000000000,958180218847647/50000000000000000,1939847507308308878359/250000000000000000000000,-121916242158552490204708011/62500000000000000000000000000,0
50,2,6,1015750560937647/50000000000000000,-1273300401136326456453/1692917601562745000000,94949656922762791293054663/423229400390686250000000000,1015750560937647/50000000000000000,3819901203408979369359/250000000000000000000000,284848970768288373879163989/62500000000000000000000000000,0
51,3,6,808342519923353/50000000000000000,-1348784395186136995641/4041712599616765000000,121916973867833409516007011/1010428149904191250000000000,808342519923353/50000000000000000,1348784395186136995641/250000000000000000000000,121916973867833409516007011/62500000000000000000000000000,0
52,4,6,916668607559647/50000000000000000,3684793971470717676641/4583343037798235000000,3826629086654842345529271/19420945075416250000000000,916668607559647/50000000000000000,-3684793971470717676641/250000000000000000000000,225771116112635698386226989/62500000000000000000000000000,0
53,5,6,692661464301353/50000000000000000,2877804137372410958359/3463307321506765000000,180994828523486085008944011/865826830376691250000000000,692661464301353/50000000000000000,-2877804137372410958359/250000000000000000000000,180994828523486085008944011/62500000000000000000000000000,0
54,6,6,794431419211353/50000000000000000,115155038069741973779/189150337907465000000,-75256794801118259691642663/331013091338063750000000000,794431419211353/50000000000000000,-2418255799464581449359/250000000000000000000000,-225770384403354779074927989/62500000000000000000000000000,0
55,7,6,575209278927647/50000000000000000,287851168775047273663/410863770662605000000,-1988962200360076970552121/7901226358896250000000000,575209278927647/50000000000000000,-2014958181425330915641/250000000000000000000000,-180995560232767004320243011/62500000000000000000000000000,0
56,0,7,980196748549897/50000000000000000,-7511083332465626578359/4900983742749485000000,694231830033536193509762739/1225245935687371250000000000,980196748549897/50000000000000000,7511083332465626578359/250000000000000000000000,694231830033536193509762739/62500000000000000000000000000,0
57,1,7,805082476061103/50000000000000000,-4720940100032733786641/4025412380305515000000,99044203742508205241886087/335451031692126250000000000,805082476061103/50000000000000000,4720940100032733786641/250000000000000000000000,297132611227524615725658261/62500000000000000000000000000,0
58,2,7,853454246471103/50000000000000000,57623063047988901453/1422423744118505000000,-231410015573868192948737913/355605936029626250000000000,853454246471103/50000000000000000,-172869189143966704359/250000000000000000000000,-694230046721604578846213739/62500000000000000000000000000,0
59,3,7,679185798917897/50000000000000000,1584616266287434660641/3395928994589485000000,-297134394539456230389207261/848982248647371250000000000,679185798917897/50000000000000000,-1584616266287434660641/250000000000000000000000,-297134394539456230389207261/62500000000000000000000000000,0
60,4,7,770203577349103/50000000000000000,358759392576334658359/3851017886745515000000,-550246300924016181136526739/962754471686378750000000000,770203577349103/50000000000000000,-358759392576334658359/250000000000000000000000,-550246300924016181136526739/62500000000000000000000000000,0
61,5,7,581988227039897/50000000000000000,478642710126821706641/2909941135199485000000,-441118140337044628098894261/727485283799871250000000000,581988227039897/50000000000000000,-478642710126821706641/250000000000000000000000,-441118140337044628098894261/62500000000000000000000000000,0
62,6,7,667497409629897/50000000000000000,1818695206542873738547/1112495682716495000000,183414839204028188824325913/278123920679123750000000000,667497409629897/50000000000000000,-5456085619628621215641/250000000000000000000000,550244517612084566472977739/62500000000000000000000000000,0
63,7,7,483302515981103/50000000000000000,4181050254735181419359/2416512579905515000000,4847471688450288382004871/6638770823916250000000000,483302515981103/50000000000000000,-4181050254735181419359/250000000000000000000000,441119923648976242762443261/62500000000000000000000000000,0
