index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.4245408770003173,0.4245408770003173,True,-0.5754591229996827,5.280377361272012e-06,0.0,2.6629974240827525e-16,0.9168656049113196,1.0,0.01,-0.0023433193376636297,0.12,5.54012239696602e-15,NO_HIT
0,spectrum_local,0.35,0.12,False,0.3925325920375552,0.3925325920375552,True,-0.6074674079624448,6.110285174922803e-06,0.0,1.8286021331460727e-16,0.7659222299129403,1.0,0.01,-0.002165663483896907,0.09999999999999998,5.54012239696602e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,True,0.4585390702256521,0.4585390702256521,True,-0.5414609297743479,1.112766464121577e-06,-1.1102230246251565e-16,3.4715011984017615e-16,0.8040249571360816,1.0,0.01,-0.0022193946157447186,0.09999999999999998,5.536059126217665e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,False,0.4463629289037931,0.4463629289037931,True,-0.5536370710962069,2.1332529174748795e-06,-1.1102230246251565e-16,3.177600927243283e-16,0.8135092566841293,1.0,0.01,-0.0021574210098940227,0.09999999999999998,5.5581274390333984e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,False,0.3903280494095048,0.3903280494095048,True,-0.6096719505904953,6.091758005953293e-06,0.0,1.506228830840676e-16,0.7715009219431403,1.0,0.01,-0.002093815809809385,0.09999999999999998,5.556706638801939e-15,NO_HIT
4,spectrum_local,0.35,0.12,False,0.4505487526453319,0.4505487526453319,True,-0.5494512473546681,1.2886636880884163e-06,2.220446049250313e-16,4.078515300520624e-16,0.8268514908853863,1.0,0.01,-0.00215321214008668,0.09999999999999998,5.536059126217665e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,True,0.4890210068053732,0.4890210068053732,True,-0.5109789931946268,4.684849339052832e-07,0.0,1.0117415443418185e-16,0.8170208764116975,1.0,0.01,-0.0023307948893780406,0.09999999999999998,5.5481525984746155e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,False,0.46245664317481566,0.46245664317481566,True,-0.5375433568251844,7.115166752083698e-07,0.0,2.6700652987728895e-16,0.7810120741110712,1.0,0.01,-0.00205612171290781,0.09999999999999998,5.649147680819896e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,False,0.33265289497014533,0.33265289497014533,True,-0.6673471050298547,4.9290046295959126e-06,0.0,1.2133057453987924e-16,0.598596431229117,1.0,0.01,-0.0016551262422836999,0.1,5.675845232089964e-15,NO_HIT
8,spectrum_local,0.35,0.12,False,0.4529830270452319,0.4529830270452319,True,-0.547016972954768,9.606383781452656e-07,2.220446049250313e-16,1.6084021328980268e-16,0.7600737720218188,1.0,0.01,-0.00206955988412183,0.09999999999999998,5.5481525984746155e-15,NO_HIT
