left_mask,right_mask,mu,a,b
0,0,1007118977006003/50000000000000000,6223365089393245108359/5035594885030015000000,479107182265213678115726511/1258898721257503750000000000
0,1,887084211335247/50000000000000000,273932113701033561849/492824561852915000000,-455719311825142338538737/7247420027248750000000000
0,2,784566962657647/50000000000000000,214920460569665698641/3922834813288235000000,-326740002220710298800436761/980708703322058750000000000
0,3,689076389001103/50000000000000000,-2029846388684051863641/3445381945005515000000,-82642125335256601518862989/861345486251378750000000000
0,4,1571472726344997/50000000000000000,1886171838515507816547/2619121210574995000000,371099502613630010854827/5502355484401250000000000
0,5,1333505404813753/50000000000000000,-1133981383839442114641/6667527024068765000000,-541864649989032814194472989/1666881756017191250000000000
0,6,1166594930291353/50000000000000000,-3887278983829615756641/5832974651456765000000,-284849702477569293190462989/1458243662864191250000000000
0,7,980196748549897/50000000000000000,-7511083332465626578359/4900983742749485000000,694231830033536193509762739/1225245935687371250000000000
1,0,827194990082997/50000000000000000,3901139448212077256641/4135974950414985000000,68352943961792330726534163/344664579201248750000000000
1,1,728604695325753/50000000000000000,1495893394246590578359/3643023476628765000000,-1105276400607587654024157/33731698857673750000000000
1,2,644402375203353/50000000000000000,301403621029029645453/1074003958672255000000,-46615124733206658681547413/268500989668063750000000000
1,3,565971399387897/50000000000000000,-689485963338917771359/2829856996939485000000,-11790331623117383158769337/235821416411623750000000000
1,4,1290725719566003/50000000000000000,921352477423274728453/2151209532610005000000,900044197980880540789647/25609637292976250000000000
1,5,1095271775525247/50000000000000000,-1715027567135620520359/5476358877626235000000,-77306384513922533196899337/456363239802186250000000000
1,6,958180218847647/50000000000000000,-1939847507308308878359/4790901094238235000000,-1401336116764971151778253/13766957167351250000000000
1,7,805082476061103/50000000000000000,-4720940100032733786641/4025412380305515000000,99044203742508205241886087/335451031692126250000000000
2,0,876895346672997/50000000000000000,-117208001443530411453/1461492244454995000000,-159701983851978391010841837/365373061113748750000000000
2,1,772381451235753/50000000000000000,120677770622365452151/429100806242085000000,2582402800096998817239843/35758400520173750000000000
2,2,683120003113353/50000000000000000,-1394374571092392857547/1138533338522255000000,108913054301828495719828587/284633334630563750000000000
2,3,599976658977897/50000000000000000,-803093595730560087453/999961098296495000000,27547304349276905935854663/249990274574123750000000000
2,4,1368276392976003/50000000000000000,345803748323270075151/760153551653335000000,-2102891779648233142954353/27148341130476250000000000
2,5,1161078989615247/50000000000000000,2130908949517914329547/1935131649358745000000,180621086023718297657724663/483782912339686250000000000
2,6,1015750560937647/50000000000000000,-1273300401136326456453/1692917601562745000000,94949656922762791293054663/423229400390686250000000000
2,7,853454246471103/50000000000000000,57623063047988901453/1422423744118505000000,-231410015573868192948737913/355605936029626250000000000
3,0,697840416238003/50000000000000000,-1390386356759772130641/3489202081190015000000,-205060062594655497262803489/872300520297503750000000000
3,1,614667412103247/50000000000000000,6049703175953098547/1024445686838745000000,3315849102559186265511471/85370473903228750000000000
3,2,543632429025647/50000000000000000,-2600072195704535062359/2718162145128235000000,139846213514844787685593239/679540536282058750000000000
3,3,477466282633103/50000000000000000,-1210967889660391102641/2387331413165515000000,35371207156778033187607011/596832853291378750000000000
3,4,1088885431112997/50000000000000000,329727790605754229547/1814809051854995000000,-2700148799429652378037941/64814608994821250000000000
3,5,923996060045753/50000000000000000,3958262089678278646359/4619980300228765000000,231920545459645520811997011/1154995075057191250000000000
3,6,808342519923353/50000000000000000,-1348784395186136995641/4041712599616765000000,121916973867833409516007011/1010428149904191250000000000
3,7,679185798917897/50000000000000000,1584616266287434660641/3395928994589485000000,-297134394539456230389207261/848982248647371250000000000
4,0,791358102394997/50000000000000000,-82095102929800188359/3956790511974985000000,-379739077614501240621962511/989197627993746250000000000
4,1,697039073013753/50000000000000000,-1212503955743186976641/3485195365068765000000,6140432533680084207962529/96810982363021250000000000
4,2,616484682491353/50000000000000000,3551898357038617381359/3082423412456765000000,258973256206310357635672761/770605853114191250000000000
4,3,541451602099897/50000000000000000,2087713613810208783641/2707258010499485000000,65501928605070125114626989/676814502624871250000000000
4,4,1234807111254003/50000000000000000,-961461537718534456547/2058011852090005000000,-5000252128783086447616059/73500423288928750000000000
4,5,1047820893837247/50000000000000000,-5504181663067287965359/5239104469186235000000,7279330161285174544919271/22199595208416250000000000
4,6,916668607559647/50000000000000000,3684793971470717676641/4583343037798235000000,3826629086654842345529271/19420945075416250000000000
4,7,770203577349103/50000000000000000,358759392576334658359/3851017886745515000000,-550246300924016181136526739/962754471686378750000000000
5,0,597973201516003/50000000000000000,-248139727209318176641/2989866007580015000000,-304426936536089429673366489/747466501895003750000000000
5,1,526702999325247/50000000000000000,-946653555118909658359/2633514996626235000000,4922624969170098509268471/73153194350728750000000000
