index,mode,margin,label,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,status
0,0,0.010000000000000009,frozen_logit_neighborhood,0.503742895230522,0.503742895230522,True,-0.49625710476947804,1.3423828485637842e-10,-1.1102230246251565e-16,3.165250413249666e-16,0.2750713752799818,1.0,0.0028023141529886376,-0.00014399622707994553,NO_HIT
1,1,0.02111779988276774,two_edge_clusters,0.4986752308108307,0.4986752308108307,True,-0.5013247691891694,3.828753149138577e-08,0.0,3.6124013370679163e-16,0.42421063547523313,1.0,0.0036451629548623376,-0.00027484089773643916,NO_HIT
2,2,0.016496510218086083,logit_spread,0.41279400342229533,0.41279400342229533,True,-0.5872059965777047,2.93604288979913e-07,0.0,2.44227306205088e-16,0.5339831235424185,1.0,0.002725147070409155,-0.00011547324637817269,NO_HIT
3,3,0.027852723669941182,five_spectral_clusters,0.4176721203909299,0.4176721203909299,True,-0.5823278796090701,1.3799876809917804e-08,0.0,3.350173389553948e-16,0.2209173691025897,1.0,0.0034918879017108075,-0.00021475805340909204,NO_HIT
4,0,0.01,frozen_logit_neighborhood,0.5102775125026876,0.5102775125026876,True,-0.4897224874973124,6.737023555338876e-12,0.0,1.5626046494941944e-16,0.19548106688234404,1.0,0.002054838149443914,-6.162907658247008e-05,NO_HIT
5,1,0.012625229224643209,two_edge_clusters,0.4948619258149872,0.4948619258149872,True,-0.5051380741850128,3.552650218242281e-07,-1.1102230246251565e-16,2.7230377239019743e-16,0.7246620971125459,1.0,0.0015410669909514388,-5.359070979515934e-05,NO_HIT
6,2,0.012595102221185029,logit_spread,0.49488981818040756,0.49488981818040756,True,-0.5051101818195924,1.4333952386444035e-10,0.0,2.089212645894844e-16,0.22838163852051283,1.0,0.0029913575715556934,-0.00015729100235617466,NO_HIT
7,3,0.034374844121385584,five_spectral_clusters,0.3835563910722608,0.3835563910722608,True,-0.6164436089277392,2.0435053388718443e-06,0.0,2.51760463931361e-16,0.4818429285700941,1.0,0.0039510318882593955,-0.00027103580948484307,NO_HIT
8,0,0.010000000000000009,frozen_logit_neighborhood,0.5094247989124677,0.5094247989124677,True,-0.4905752010875323,4.3180961829365176e-11,-1.1102230246251565e-16,9.686996299431713e-17,0.23055827674727,1.0,0.003062426736342381,-0.0001565296877945599,NO_HIT
9,1,0.011771511940350737,two_edge_clusters,0.5029588173138919,0.5029588173138919,True,-0.4970411826861081,1.1148440361936424e-08,-1.1102230246251565e-16,3.0004954812911036e-16,0.28036579214404705,1.0,0.0019802551163836594,-8.110758492030357e-05,NO_HIT
10,2,0.020255743192982623,logit_spread,0.45680912768158627,0.45680912768158627,True,-0.5431908723184138,4.577595036715596e-11,-1.1102230246251565e-16,3.2185941194059726e-16,0.25385152868649574,1.0,0.003000108666015562,-0.0001231601285329731,NO_HIT
11,3,0.020055299404928832,five_spectral_clusters,0.46846418335189255,0.46846418335189255,True,-0.5315358166481075,2.161177876101657e-12,2.220446049250313e-16,3.431525931259592e-16,0.08177655142360116,1.0,0.004033659857641144,-0.0002683513822354655,NO_HIT
12,0,0.010000000000000009,frozen_logit_neighborhood,0.5025948228392337,0.5025948228392337,True,-0.49740517716076627,6.365502751474913e-11,0.0,3.016944891674978e-16,0.2331092396742167,1.0,0.0019180683488911597,-6.835615358546931e-05,NO_HIT
13,1,0.012570575703591658,two_edge_clusters,0.49360910916450373,0.49360910916450373,True,-0.5063908908354963,1.3128031629962054e-07,0.0,2.622884442713256e-16,0.5691509862284777,1.0,0.0020711966259517193,-8.956499355328162e-05,NO_HIT
14,2,0.02100902218252098,logit_spread,0.38222886629267555,0.38222886629267555,True,-0.6177711337073244,1.7756008934792422e-07,-2.220446049250313e-16,3.173470411217295e-16,0.2622031761782606,1.0,0.003718948064405678,-0.00019441407205533778,NO_HIT
