example,s,r,eig_min,eig_max,feasible,hessian,fisher,acceleration,min_event_probability
canonical_n5,0.0,0.0,6.060882225493976e-05,0.9999049213042038,True,0.005205948203929056,-0.0,0.005205948203929056,1.1820506099994253e-12
canonical_n5,0.0,0.0001,6.060882225493976e-05,0.9999049213042038,True,0.0052040055113751205,-0.0,0.0052040055113751205,1.1820506099994253e-12
canonical_n5,0.0,0.0005,6.060882225493976e-05,0.9999049213042038,True,0.005196107906849212,-0.0,0.005196107906849212,1.1820506099994253e-12
canonical_n5,0.0,0.001,6.060882225493976e-05,0.9999049213042038,True,0.005185950524943639,-0.0,0.005185950524943639,1.1820506099994253e-12
canonical_n5,0.0,0.002,6.060882225493976e-05,0.9999049213042038,True,0.005164684507325212,-0.0,0.005164684507325212,1.1820506099994253e-12
canonical_n5,0.0,0.005,6.060882225493976e-05,0.9999049213042038,True,0.005093276423690174,-0.0,0.005093276423690174,1.1820506099994253e-12
canonical_n5,0.0,0.01,6.060882225493976e-05,0.9999049213042038,True,0.004948896192467966,-0.0,0.004948896192467966,1.1820506099994253e-12
canonical_n5,0.0,0.02,6.060882225493976e-05,0.9999049213042038,True,0.0045650103723169355,-0.0,0.0045650103723169355,1.1820506099994253e-12
canonical_n5,0.0,0.05,6.060882225493976e-05,0.9999049213042038,True,0.0026523500573052416,-0.0,0.0026523500573052416,1.1820506099994253e-12
canonical_n5,0.0,0.1,6.060882225493976e-05,0.9999049213042038,True,-0.0030720933141250573,-0.0,-0.0030720933141250573,1.1820506099994253e-12
canonical_n5,0.0,0.2,6.060882225493976e-05,0.9999049213042038,True,-0.024033515730491728,-0.0,-0.024033515730491728,1.1820506099994253e-12
canonical_n5,0.0,0.4,6.060882225493976e-05,0.9999049213042038,True,-0.1040065032532761,-0.0,-0.1040065032532761,1.1820506099994253e-12
canonical_n5,0.0,0.6,6.060882225493976e-05,0.9999049213042038,True,-0.23471301436453784,-0.0,-0.23471301436453784,1.1820506099994253e-12
canonical_n5,0.0,0.8,6.060882225493976e-05,0.9999049213042038,True,-0.4161530490641482,-0.0,-0.4161530490641482,1.1820506099994253e-12
canonical_n5,0.0,1.0,6.060882225493976e-05,0.9999049213042038,True,-0.6483266073520314,-0.0,-0.6483266073520314,1.1820506099994253e-12
canonical_n5,0.0001,0.0,0.0001061128408769787,0.9998478017767369,True,0.03342603248810927,-0.0,0.03342603248810927,3.1376232151199467e-12
canonical_n5,0.0001,0.0001,0.0001061128408769787,0.9998478017767369,True,0.033419240292923647,-0.0,0.033419240292923647,3.1376232151199467e-12
