family,epsilon,n,delta,threshold_status,symmetric_difference,transition_count,count_over_log_n,spectral_distance_to_01,closest_to_half,eig_min,eig_max
near_symmetric_m2_least,0.2,8,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,3.8471867757039027,2.1502158555749062,0.42272502354824182;0.33056354335043203;0.68323394545125371;0.74239976764912674;0.21561975595225247;0.20682437775805199,0.20000240486988846,0.7423997676491267
near_symmetric_m2_least,0.2,8,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,3.8471867757039027,2.1502158555749062,0.42272502354824182;0.33056354335043203;0.68323394545125371;0.74239976764912674;0.21561975595225247;0.20682437775805199,0.20000240486988846,0.7423997676491267
near_symmetric_m2_least,0.2,8,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,3.8471867757039027,2.1502158555749062,0.42272502354824182;0.33056354335043203;0.68323394545125371;0.74239976764912674;0.21561975595225247;0.20682437775805199,0.20000240486988846,0.7423997676491267
near_symmetric_m2_least,0.2,8,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,3.8471867757039027,2.1502158555749062,0.42272502354824182;0.33056354335043203;0.68323394545125371;0.74239976764912674;0.21561975595225247;0.20682437775805199,0.20000240486988846,0.7423997676491267
near_symmetric_m2_least,0.2,8,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,8,3.8471867757039027,2.1502158555749062,0.42272502354824182;0.33056354335043203;0.68323394545125371;0.74239976764912674;0.21561975595225247;0.20682437775805199,0.20000240486988846,0.7423997676491267
near_symmetric_m2_least,0.05,8,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,3.8471867757039027,1.2253237833623598,0.38408753532236278;0.24584531502564799;0.77485091817688057;0.86359965147369022;0.073429633928378674;0.060236566637077951,0.050003607304832685,0.8635996514736902
near_symmetric_m2_least,0.05,8,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,3.8471867757039027,1.2253237833623598,0.38408753532236278;0.24584531502564799;0.77485091817688057;0.86359965147369022;0.073429633928378674;0.060236566637077951,0.050003607304832685,0.8635996514736902
near_symmetric_m2_least,0.05,8,0.05,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,8,3.8471867757039027,1.2253237833623598,0.38408753532236278;0.24584531502564799;0.77485091817688057;0.86359965147369022;0.073429633928378674;0.060236566637077951,0.050003607304832685,0.8635996514736902
near_symmetric_m2_least,0.05,8,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,4,1.9235933878519513,1.2253237833623598,0.38408753532236278;0.24584531502564799;0.77485091817688057;0.86359965147369022;0.073429633928378674;0.060236566637077951,0.050003607304832685,0.8635996514736902
near_symmetric_m2_least,0.05,8,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,3,1.4426950408889636,1.2253237833623598,0.38408753532236278;0.24584531502564799;0.77485091817688057;0.86359965147369022;0.073429633928378674;0.060236566637077951,0.050003607304832685,0.8635996514736902
