family,epsilon,delta,n_min,n_max,points,slope_vs_log_n,intercept,r_squared_diagnostic,max_abs_residual,linear_plus_log_linear_coefficient,linear_plus_log_log_coefficient,linear_plus_log_constant,linear_plus_log_max_abs_residual,symbol_half_level_measure,semantics
near_symmetric_m2_least,0.002,0.01,64,2048,11,3.094642014883876,-3.5884276413075957,0.9436731044190554,1.4634039574319964,0.002682423243545053,1.7066579234071595,2.9174363712054805,1.0352699912564738,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.002,0.02,64,2048,11,2.9325106921508626,-4.810668362063322,0.8832894739983853,2.451391661574416,0.0037571724739697255,0.9884119615149334,4.3018582483533905,1.1740031548203476,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.002,0.05,64,2048,11,2.5712107722350925,-5.126853048370571,0.9210049388207475,1.5223505769693162,0.002650449027698971,1.1997713118260387,1.3014617180636858,0.9679211579690401,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.002,0.1,64,2048,11,1.9913062553713181,-4.14922207598873,0.8955242456814931,1.2731927728893737,0.00223459114596788,0.8350469033015937,1.2704842116811328,0.9023671520741292,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.002,0.2,64,2048,11,1.4114017385075424,-3.1715911036068825,0.7830449118693515,1.4101906110838929,0.0026967471030521725,0.016005957181981167,3.3690135421422713,0.8518633267335449,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.01,0.01,64,2048,11,266.45382178279726,-1222.3758847480244,0.839098270957207,263.76701624817565,0.49685076753132495,9.365026108593428,-17.329836981282728,6.5291832062922595,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.01,0.02,64,2048,11,3.0365490740217775,-3.7900579598427027,0.9551698390653843,1.2793601730521473,0.002062310268404603,1.9694341617413142,1.2118037672864468,1.0253131527729273,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.01,0.05,64,2048,11,2.567971438940885,-4.562226444330474,0.942149235955173,0.9824226550667312,0.002441394560832762,1.3047044211024426,1.3590542677602429,0.6872794792504102,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.01,0.1,64,2048,11,1.9130750106372434,-3.504390714901685,0.9021922370555862,1.2056773995114067,0.0020549242349023784,0.8497819027736773,1.479557161505803,0.7178092056283321,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.01,0.2,64,2048,11,1.4114017385075424,-3.1715911036068825,0.7830449118693515,1.4101906110838929,0.0026967471030521725,0.016005957181981167,3.3690135421422713,0.8518633267335449,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.05,0.01,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.05,0.02,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
