index,n,mode,margin,entropy,min_atom,normalization_residual,lambda_max_coordinate,lambda_max,fisher_along_top,acceleration_along_top,fisher_max_eigenvalue,acceleration_max_eigenvalue,mechanism_ratio,mechanism_fisher,mechanism_acceleration,mechanism_total,mechanism_rank,direction_rank,direction_singular_1,direction_singular_2,step,gap,endpoint_margin,status
85,13,1,9.999999999910081e-05,8.190464002130529,5.299069539583301e-14,2.220446049250313e-16,-0.2933367491893739,-0.3032677564636436,-0.20108580653275115,-0.10218194993089279,-0.1938504440910914,4.4098965449714065,0.36218733470425635,-0.9999999999999978,0.36218733470425557,-0.6378126652957422,13,13,0.9999999999999998,0.972283942232712,0.007817069838029043,-9.298597458240465e-06,8.452069782949323e-05,NO_HIT
86,13,2,0.03999999999999959,8.477596698249737,2.8758719057516696e-06,0.0,-0.07955463898544059,-0.07955534856072995,-0.05304785928389115,-0.026507489276839574,-0.053045259925894164,1.8389077541515513,0.2836813852810338,-0.9999999999999988,0.2836813852810335,-0.7163186147189653,13,13,0.9999999999999997,0.9997154076721699,0.036509446098940045,-6.860812870002064e-05,0.035063382876073246,NO_HIT
87,13,3,0.21313226510422645,8.846957290157857,1.1427029263254167e-05,3.3306690738754696e-16,-0.0009038302883195196,-0.0009038325469678156,-0.0006025551934918171,-0.0003012773534769586,-0.0006025536838870114,0.1764918165625039,0.04025479823967058,-0.9999999999999992,0.04025479823967055,-0.9597452017603286,13,13,0.9999999999999998,0.9999994202818849,0.08836074533343963,-0.0004967391065626714,0.20571539557041646,NO_HIT
88,13,0,0.12939266542440298,8.784085077992625,6.695897628992594e-06,3.3306690738754696e-16,-0.018982672074056024,-0.018982587727353565,-0.012655388579598031,-0.006327199147755026,-0.012655433371088685,0.8295041609594006,0.16646016119589552,-0.9999999999999986,0.16646016119589527,-0.8335398388041033,13,13,0.9999999999999996,0.9999776714590819,0.06666294216262979,-0.00021558499164697764,0.12852950103721106,NO_HIT
89,13,1,0.0017352789909385047,8.318888314723878,2.4048068681546324e-09,0.0,-0.4361284424061871,-0.4368722391580823,-0.29061791762942013,-0.14625432152866216,-0.28990569587972503,5.332738133386569,0.46221834954681057,-0.9999999999999986,0.4622183495468099,-0.5377816504531887,13,13,1.0000000000000002,0.9987192657337653,0.019426259334461224,-8.353818134665403e-05,0.0016625799474310199,NO_HIT
90,13,2,0.03999999999999969,8.681506931496976,3.36290290046588e-06,0.0,-0.041136718136355895,-0.0411320422584369,-0.027421579239997915,-0.013710463018439053,-0.0274242066038882,2.3339870218824843,0.33104756597232593,-1.000000000000002,0.3310475659723266,-0.6689524340276753,13,13,1.0,0.999870530240816,0.06813315511195882,-0.0002732405767318369,0.038741663396446725,NO_HIT
91,13,3,0.2403576582601057,8.954933565142655,4.4097978036357903e-05,0.0,-0.0038400375087963208,-0.003840138394649124,-0.002560086766451054,-0.0012800516281996632,-0.0025600193323363145,0.2445494685785811,0.05675723663790715,-0.9999999999999989,0.05675723663790709,-0.9432427633620918,13,13,0.9999999999999997,0.9999999463320861,0.09335052142757772,-0.0006330210393361568,0.23700385006583602,NO_HIT
92,13,0,0.0893457023377906,8.501494757109363,3.056412881920596e-07,0.0,-0.06816421526295648,-0.06818881191643192,-0.04550602371949787,-0.02268278819693259,-0.04548872950908475,1.346890767306252,0.2388319141436113,-0.9999999999999994,0.23883191414361116,-0.7611680858563883,13,13,0.9999999999999999,0.9999915760247868,0.03535468126742244,-6.075575171493597e-05,0.08590468995720357,NO_HIT
93,13,1,0.00010000000000043308,8.074676689461526,3.8363243982941355e-12,0.0,-0.41647190445782967,-0.42357800953232433,-0.2838886322153513,-0.13968937731697312,-0.27876604085531353,4.146939336365756,0.4348863837068748,-0.9999999999999983,0.4348863837068741,-0.5651136162931243,13,13,1.0,0.9982700971785258,0.00022959823444023732,-1.1164578594957675e-08,8.069386480802354e-05,NO_HIT
94,13,2,0.04000000000000023,8.680706262668354,3.362902900465892e-06,2.220446049250313e-16,-0.07781510939466735,-0.07778620698199894,-0.051843340642983765,-0.025942866339014787,-0.051860519206412,2.113561267870387,0.32162119663474387,-1.000000000000002,0.32162119663474453,-0.6783788033652575,13,13,0.9999999999999997,0.9988873614073602,0.058585258963764965,-0.00022195300653926608,0.036748659565030484,NO_HIT
95,13,3,0.251589362215235,8.924534162466372,3.0197161033373802e-05,0.0,-0.0023939605351870805,-0.0023939878787051106,-0.0015959922824491774,-0.0007979955962563825,-0.0015959740227537839,0.24240301729696595,0.05582692442844167,-1.0000000000000004,0.0558269244284417,-0.9441730755715587,13,12,1.0,0.9999982673624469,0.09280988308003452,-0.0006066445645860341,0.24754321325053366,NO_HIT
96,13,0,0.13862159841582655,8.707112297853591,4.620124729306588e-06,0.0,-0.01797216287291569,-0.01797173272674944,-0.011981092309487644,-0.00599064041726205,-0.01198136448203783,0.6869304467304527,0.13962449809414115,-1.0000000000000009,0.13962449809414126,-0.8603755019058597,13,13,0.9999999999999999,0.9999137405600814,0.07671454381709052,-0.0003369216381035045,0.13666576107479855,NO_HIT
97,13,1,9.999999999943388e-05,8.102192315915604,3.3834987260369447e-14,0.0,-0.46655982307078214,-0.46577749759420906,-0.30885756033449796,-0.1569199372597118,-0.3088878759524583,7.071190196147285,0.46073453144173593,-1.0000000000000009,0.4607345314417363,-0.5392654685582645,13,13,0.9999999999999998,0.9970721763285385,0.0048650260771718815,-5.519026215594636e-06,8.802304240829173e-05,NO_HIT
98,13,2,0.03999999999999959,8.756141953905288,3.362902900465886e-06,0.0,-0.10457279293847993,-0.10461172168801883,-0.06973832121190797,-0.03487340047611076,-0.06970676483576559,2.104976841394742,0.3246702507308103,-0.9999999999999961,0.324670250730809,-0.6753297492691871,13,13,0.9999999999999997,0.9999901696648578,0.03933081343713252,-0.0001024679524199712,0.03606881519967575,NO_HIT
99,13,3,0.2561323167603846,8.931358582200858,3.2582717917921055e-05,2.220446049250313e-16,-0.0015585113234753067,-0.0015585127083128085,-0.0010390081377598711,-0.0005195045705532197,-0.001039007204662887,0.22543158743769653,0.05258896158703459,-1.0000000000000002,0.052588961587034605,-0.9474110384129656,13,13,0.9999999999999999,0.9999995184327211,0.08870847852749648,-0.000515005863649165,0.25010314193617417,NO_HIT
