31 -0x1.124dbc218b7f8p-11 -0x1.124dbc218ac2ap-11 0x1.fffffffffff87p-1 0x1.000000000003ep+0 -0x1.7fa0000000002p-49 0x1.7f80000000002p-49 -0x1.ac30000000002p-49 0x1.aca0000000002p-49 0.708344723 262144
0 -0x1.3543e5d92523p-10 -0x1.3543e5d924b55p-10 0x1.fffffffffff85p-1 0x1.000000000003fp+0 -0x1.1fe0000000002p-48 0x1.1fa0000000002p-48 -0x1.ee70000000002p-49 0x1.ee40000000002p-49 0.799559614 262144
1 -0x1.344494eaebf63p-10 -0x1.344494eaeb88dp-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1dd0000000002p-48 0x1.1dc0000000002p-48 -0x1.eb10000000002p-49 0x1.eae0000000002p-49 0.864357114 262144
2 -0x1.3249aa1764d3ep-10 -0x1.3249aa1764669p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1c40000000002p-48 0x1.1c90000000002p-48 -0x1.e8f0000000002p-49 0x1.e980000000002p-49 0.881951591 262144
3 -0x1.2f5a7d9ffdc34p-10 -0x1.2f5a7d9ffd565p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1bb0000000002p-48 0x1.1b70000000002p-48 -0x1.e890000000002p-49 0x1.e8b0000000002p-49 0.926259816 262144
4 -0x1.2b81de189c7e7p-10 -0x1.2b81de189c11dp-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1a30000000002p-48 0x1.1a30000000002p-48 -0x1.e860000000002p-49 0x1.e810000000002p-49 0.7939448 262144
5 -0x1.26cdd1d97ea12p-10 -0x1.26cdd1d97e351p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1640000000002p-48 0x1.1670000000002p-48 -0x1.e3d0000000002p-49 0x1.e400000000002p-49 0.833825721 262144
7 -0x1.1b19b3913f645p-10 -0x1.1b19b3913ef96p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1180000000002p-48 0x1.1160000000002p-48 -0x1.e200000000002p-49 0x1.e200000000002p-49 0.777189867 262144
6 -0x1.214f46d9da746p-10 -0x1.214f46d9da08ep-10 0x1.fffffffffff87p-1 0x1.000000000003fp+0 -0x1.13e0000000002p-48 0x1.13f0000000002p-48 -0x1.e300000000002p-49 0x1.e2e0000000002p-49 0.843395131 262144
10 -0x1.050e6863859bfp-10 -0x1.050e686385336p-10 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.0350000000002p-48 0x1.0390000000002p-48 -0x1.d4d0000000002p-49 0x1.d4f0000000002p-49 0.645833244 262144
9 -0x1.0ce16dcc500d7p-10 -0x1.0ce16dcc4fa3fp-10 0x1.fffffffffff87p-1 0x1.000000000003fp+0 -0x1.09a0000000002p-48 0x1.09a0000000002p-48 -0x1.dba0000000002p-49 0x1.db60000000002p-49 0.672610713 262144
8 -0x1.1442abef62c6dp-10 -0x1.1442abef625ccp-10 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.0b50000000002p-48 0x1.0b90000000002p-48 -0x1.dad0000000002p-49 0x1.db30000000002p-49 0.827751567 262144
11 -0x1.f9c584f535431p-11 -0x1.f9c584f534737p-11 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.01a0000000002p-48 0x1.01b0000000002p-48 -0x1.d5f0000000002p-49 0x1.d5e0000000002p-49 0.731652213 262144
12 -0x1.e8efc5809648cp-11 -0x1.e8efc580957abp-11 0x1.fffffffffff89p-1 0x1.000000000003fp+0 -0x1.fb20000000003p-49 0x1.fae0000000003p-49 -0x1.d2f0000000002p-49 0x1.d300000000002p-49 0.648603333 262144
13 -0x1.d7cdfb7a5509ep-11 -0x1.d7cdfb7a543dbp-11 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.efa0000000002p-49 0x1.ef80000000002p-49 -0x1.cd70000000002p-49 0x1.cd70000000002p-49 0.631927769 262144
14 -0x1.c69158bd92f49p-11 -0x1.c69158bd92298p-11 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.e9e0000000002p-49 0x1.e9a0000000002p-49 -0x1.cd30000000002p-49 0x1.cd50000000002p-49 0.735572882 262144
15 -0x1.b5691b796e88ep-11 -0x1.b5691b796dbfcp-11 0x1.fffffffffff89p-1 0x1.000000000003ep+0 -0x1.dd00000000002p-49 0x1.dce0000000002p-49 -0x1.c7b0000000002p-49 0x1.c770000000002p-49 0.720394136 262144
16 -0x1.a481ec71f663bp-11 -0x1.a481ec71f59bcp-11 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.d600000000002p-49 0x1.d620000000002p-49 -0x1.c5b0000000002p-49 0x1.c5b0000000002p-49 0.762667081 262144
17 -0x1.94055b20f4073p-11 -0x1.94055b20f340ap-11 0x1.fffffffffff89p-1 0x1.000000000003ep+0 -0x1.ccc0000000002p-49 0x1.cd00000000002p-49 -0x1.c2c0000000002p-49 0x1.c300000000002p-49 0.771418924 262144
18 -0x1.841979b1117d7p-11 -0x1.841979b110b7fp-11 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.c440000000002p-49 0x1.c440000000002p-49 -0x1.c130000000002p-49 0x1.c160000000002p-49 0.797457083 262144
19 -0x1.74e0999669b07p-11 -0x1.74e0999668ec1p-11 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.be40000000002p-49 0x1.bde0000000002p-49 -0x1.c0b0000000002p-49 0x1.c060000000002p-49 0.804718344 262144
20 -0x1.6679285220841p-11 -0x1.667928521fc0dp-11 0x1.fffffffffff89p-1 0x1.000000000003ep+0 -0x1.b440000000002p-49 0x1.b420000000002p-49 -0x1.bb40000000002p-49 0x1.bb10000000002p-49 0.687902458 262144
21 -0x1.58fdaac6039e5p-11 -0x1.58fdaac602dbfp-11 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.ad80000000002p-49 0x1.ada0000000002p-49 -0x1.b9a0000000002p-49 0x1.b9c0000000002p-49 0.721899765 262144
22 -0x1.4c84d46bc2d27p-11 -0x1.4c84d46bc2111p-11 0x1.fffffffffff88p-1 0x1.000000000003fp+0 -0x1.a660000000002p-49 0x1.a6e0000000002p-49 -0x1.b800000000002p-49 0x1.b7f0000000002p-49 0.646656946 262144
23 -0x1.4121b6d28b21bp-11 -0x1.4121b6d28a614p-11 0x1.fffffffffff8ap-1 0x1.000000000003ep+0 -0x1.9de0000000002p-49 0x1.9da0000000002p-49 -0x1.b360000000002p-49 0x1.b3f0000000002p-49 0.754429612 262144
24 -0x1.36e404fe1e841p-11 -0x1.36e404fe1dc41p-11 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.99a0000000002p-49 0x1.99c0000000002p-49 -0x1.b580000000002p-49 0x1.b540000000002p-49 0.698813272 262144
25 -0x1.2dd865aadf7cp-11 -0x1.2dd865aadebcbp-11 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.9300000000002p-49 0x1.92a0000000002p-49 -0x1.b3c0000000002p-49 0x1.b390000000002p-49 0.687553726 262144
26 -0x1.2608cf17f9a75p-11 -0x1.2608cf17f8e9p-11 0x1.fffffffffff89p-1 0x1.000000000003dp+0 -0x1.8a40000000002p-49 0x1.89e0000000002p-49 -0x1.ad20000000002p-49 0x1.ad10000000002p-49 0.677675871 262144
27 -0x1.1f7ce6cf32661p-11 -0x1.1f7ce6cf31a82p-11 0x1.fffffffffff89p-1 0x1.000000000003fp+0 -0x1.8880000000002p-49 0x1.8880000000002p-49 -0x1.af20000000002p-49 0x1.af20000000002p-49 0.695826776 262144
28 -0x1.1a3a5ff23f425p-11 -0x1.1a3a5ff23e84dp-11 0x1.fffffffffff89p-1 0x1.000000000003ep+0 -0x1.84a0000000002p-49 0x1.84c0000000002p-49 -0x1.ae00000000002p-49 0x1.ad40000000002p-49 0.618845434 262144
29 -0x1.164552ded3191p-11 -0x1.164552ded25bap-11 0x1.fffffffffff88p-1 0x1.000000000003ep+0 -0x1.8400000000002p-49 0x1.8420000000002p-49 -0x1.af20000000002p-49 0x1.afa0000000002p-49 0.734882732 262144
30 -0x1.13a08979c5583p-11 -0x1.13a08979c49b5p-11 0x1.fffffffffff8ap-1 0x1.000000000003ep+0 -0x1.7f80000000002p-49 0x1.7fa0000000002p-49 -0x1.ab70000000002p-49 0x1.ac50000000002p-49 0.730846578 262144
